grass_region,last_click_date,click_campaign,cost,impression_cnt,click_cnt,non_cohorts_order_cnt_7d,non_cohorts_gmv_7d,cohort_order_cnt_7d,cohort_gmv_7d,session_order_cnt,session_gmv,atc_cnt,month,cohort_order_cnt_1d,cohort_gmv_1d,new_buyer_cnt_1d,session_cnt,app_session_cnt,web_session_cnt,Upper Campaign,lower campaign name,Campaign Type,Category,campaign_name,BE_category,type,testgroup,campaign name (for AB TEST comparison),cpm
TH,7月16日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_4-opatest,134.818497,207400,1491,102,915.5068358,333,3746.650757,59,519.8300283,746,2025年7月,125,1278.45178,0,1807,855,274,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_4-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_4-OPATEST,100643-Books & Magazines,Test,Group 4,Book&Magazines,0.000650041
TH,7月16日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_5-opatest,358.422589,468127,4564,292,3229.277005,843,10129.51102,107,1042.36975,2332,2025年7月,322,3484.665599,0,5913,2526,668,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_5-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_5-OPATEST,100643-Books & Magazines,Test,Group 5,Book&Magazines,0.000765652
TH,7月16日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0-control-opatest,804.933692,1123938,9340,998,12959.30656,2042,26291.03061,506,6595.160734,6840,2025年7月,1050,13847.40855,8,11772,5436,1483,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0-control-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0-CONTROL-OPATEST,100631-Pets,Control,,Pet,0.000716173
TH,7月16日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_1-opatest,119.365651,177592,1489,163,1648.232541,303,2574.77953,90,900.3263949,1200,2025年7月,179,1536.303732,0,1912,873,331,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_1-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_1-OPATEST,100631-Pets,Test,Group 1,Pet,0.000672134
TH,7月16日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_2-opatest,118.472777,171350,1378,137,1856.47863,322,4209.446976,78,874.3687646,917,2025年7月,178,2238.822515,1,1709,830,274,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_2-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_2-OPATEST,100631-Pets,Test,Group 2,Pet,0.000691408
TH,7月16日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_3-opatest,120.738109,183852,1390,109,1419.540584,313,3111.928809,65,1027.805148,740,2025年7月,167,1699.008499,0,1660,807,304,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_3-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_3-OPATEST,100631-Pets,Test,Group 3,Pet,0.000656714
TH,7月16日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_4-opatest,118.85284,225175,1650,141,1826.518044,298,4559.837418,85,906.7927085,1037,2025年7月,177,2379.079936,0,2058,934,391,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_4-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_4-OPATEST,100631-Pets,Test,Group 4,Pet,0.000527824
TH,7月16日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_5-opatest,317.179889,374023,3724,316,4171.542062,699,8764.934105,166,2428.501047,2473,2025年7月,363,4651.619658,1,4696,2190,867,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_5-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_5-OPATEST,100631-Pets,Test,Group 5,Pet,0.000848022
TH,7月16日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0-control-opatest,1678.815417,2239521,19305,1343,15592.42086,3307,37415.28975,646,5303.869319,10434,2025年7月,1540,17160.18352,6,23496,10008,4140,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0-control-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0-CONTROL-OPATEST,100638-Stationery,Control,,Stationary,0.000749631
TH,7月16日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_1-opatest,255.973048,410516,3085,183,2068.881636,411,5127.775896,84,706.5217391,1550,2025年7月,200,2215.051115,2,3654,1610,641,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_1-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_1-OPATEST,100638-Stationery,Test,Group 1,Stationary,0.00062354
TH,7月16日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_2-opatest,252.895045,281260,2595,255,2348.934598,591,5230.939771,122,978.9075009,1814,2025年7月,299,2442.388225,1,3272,1461,608,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_2-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_2-OPATEST,100638-Stationery,Test,Group 2,Stationary,0.00089915
TH,7月16日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_3-opatest,251.99628,289316,2205,170,1968.746151,312,3308.291662,86,527.1277251,1308,2025年7月,195,2186.045079,0,2739,1242,584,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_3-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_3-OPATEST,100638-Stationery,Test,Group 3,Stationary,0.000871007
TH,7月16日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_4-opatest,252.53746,423771,2768,194,4156.854292,404,8245.966252,106,851.5211233,1907,2025年7月,222,4442.172681,2,3466,1486,741,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_4-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_4-OPATEST,100638-Stationery,Test,Group 4,Stationary,0.000595929
TH,7月16日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_5-opatest,671.167334,897965,8617,645,7234.35768,1565,17073.27534,271,2422.773741,4557,2025年7月,711,7522.287227,2,10398,4579,1520,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_5-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_5-OPATEST,100638-Stationery,Test,Group 5,Stationary,0.000747432
TH,7月17日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0-control-opatest,531.234569,1287405,11384,877,14837.55142,1536,27515.32855,363,6110.266043,6997,2025年7月,785,13405.36088,5,15721,6483,2715,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0-control-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0-CONTROL-OPATEST,100535-Audio,Control,,Audio,0.00041264
TH,7月17日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_1-opatest,80.094747,191703,1455,132,2787.874122,188,3937.800222,52,512.1936199,867,2025年7月,108,2996.366548,0,2135,832,331,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_1-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_1-OPATEST,100535-Audio,Test,Group 1,Audio,0.000417806
TH,7月17日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_2-opatest,79.022474,189200,1412,138,4370.889272,182,3209.631728,59,1488.606971,1053,2025年7月,112,2215.266658,0,2124,810,353,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_2-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_2-OPATEST,100535-Audio,Test,Group 2,Audio,0.000417666
TH,7月17日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_3-opatest,80.329629,234221,1660,140,2302.469516,225,5388.533071,67,1268.752309,1044,2025年7月,130,3804.25545,0,2352,966,438,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_3-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_3-OPATEST,100535-Audio,Test,Group 3,Audio,0.000342965
TH,7月17日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_4-opatest,79.473748,238983,1833,131,2433.889642,213,4280.268506,67,830.613376,980,2025年7月,133,3327.257051,3,2525,1024,512,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_4-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_4-OPATEST,100535-Audio,Test,Group 4,Audio,0.00033255
TH,7月17日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_5-opatest,211.907106,461526,4560,345,5419.509792,577,10559.67484,148,2248.214066,2650,2025年7月,324,6433.427762,1,6080,2605,1117,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_5-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_5-OPATEST,100535-Audio,Test,Group 5,Audio,0.000459144
TH,7月17日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0-control-opatest,875.813011,1468903,16276,1131,12711.79579,2977,36390.91021,386,4492.917847,9241,2025年7月,1073,12421.34222,11,21957,8978,2344,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0-control-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0-CONTROL-OPATEST,100643-Books & Magazines,Control,,Book&Magazines,0.000596236
TH,7月17日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_1-opatest,131.403804,225908,2111,129,1289.444513,379,4325.056349,36,382.3746767,1257,2025年7月,116,1463.111221,0,2956,1192,313,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_1-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_1-OPATEST,100643-Books & Magazines,Test,Group 1,Book&Magazines,0.00058167
TH,7月17日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_2-opatest,130.431704,242345,1961,151,1532.762656,330,4052.06922,49,650.2648109,1259,2025年7月,141,1582.491686,0,2890,1140,292,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_2-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_2-OPATEST,100643-Books & Magazines,Test,Group 2,Book&Magazines,0.000538207
TH,7月17日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_3-opatest,131.406869,280131,1753,176,1755.819682,302,3626.533132,62,682.504003,1387,2025年7月,146,1611.713265,3,2786,1099,259,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_3-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_3-OPATEST,100643-Books & Magazines,Test,Group 3,Book&Magazines,0.000469091
TH,7月17日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_4-opatest,130.104668,325768,2024,216,2226.351767,445,5145.122552,88,809.1513733,1690,2025年7月,209,2088.403744,3,2888,1189,311,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_4-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_4-OPATEST,100643-Books & Magazines,Test,Group 4,Book&Magazines,0.000399378
TH,7月17日,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_5-opatest,349.262933,534208,6273,463,4662.249661,1278,12663.22454,154,1546.187954,3775,2025年7月,453,4785.232787,2,8876,3510,872,TH_ALL_SEM_SHOPPING_NB_SP|BOOKS&MAGAZINES|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|books&magazines|all|cpo1.0_5-opatest,Shopping Ads,BOOKS&MAGAZINES,BOOKS&MAGAZINES|ALL|CPO1.0_5-OPATEST,100643-Books & Magazines,Test,Group 5,Book&Magazines,0.000653796
TH,7月17日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0-control-opatest,764.253633,1456173,13154,1445,16859.85682,2629,34645.44895,642,7629.049144,10742,2025年7月,1402,17853.51367,4,17859,7596,2259,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0-control-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0-CONTROL-OPATEST,100631-Pets,Control,,Pet,0.000524837
TH,7月17日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_1-opatest,115.949561,274135,2184,265,2233.926592,475,5891.396724,112,1044.001724,1695,2025年7月,256,2541.107279,3,3041,1246,502,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_1-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_1-OPATEST,100631-Pets,Test,Group 1,Pet,0.000422965
TH,7月17日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_2-opatest,116.816477,230452,1712,235,3151.18857,388,4570.815063,95,1311.491563,1467,2025年7月,196,2372.576364,1,2582,1059,271,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_2-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_2-OPATEST,100631-Pets,Test,Group 2,Pet,0.000506902
TH,7月17日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_3-opatest,114.797218,263189,1595,227,2741.255081,371,5246.151004,86,1407.13142,1591,2025年7月,193,3106.355462,1,2426,968,279,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_3-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_3-OPATEST,100631-Pets,Test,Group 3,Pet,0.000436178
TH,7月17日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_4-opatest,117.257853,366124,2172,244,3073.315679,405,4641.02722,100,1213.665476,1591,2025年7月,218,2799.297943,1,2974,1237,427,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_4-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_4-OPATEST,100631-Pets,Test,Group 4,Pet,0.000320268
TH,7月17日,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_5-opatest,310.040978,563488,5348,614,6561.485405,1197,13575.28021,290,3314.170464,4207,2025年7月,615,6891.667693,6,7303,3284,992,TH_ALL_SEM_SHOPPING_NB_SP|PETS|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|pets|all|cpo1.0_5-opatest,Shopping Ads,PETS,PETS|ALL|CPO1.0_5-OPATEST,100631-Pets,Test,Group 5,Pet,0.000550218
TH,7月17日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0-control-opatest,1632.637504,3119785,30876,2393,26089.90393,5503,65166.33483,887,8463.731063,19642,2025年7月,2347,25361.49126,8,39534,15559,6379,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0-control-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0-CONTROL-OPATEST,100638-Stationery,Control,,Stationary,0.000523317
TH,7月17日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_1-opatest,242.087408,440107,3472,297,3271.894014,572,5989.56922,139,979.5541323,2605,2025年7月,248,2406.34253,6,4904,1751,795,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_1-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_1-OPATEST,100638-Stationery,Test,Group 1,Stationary,0.000550065
TH,7月17日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_2-opatest,243.804371,459635,3674,367,4016.873999,660,7889.887917,152,1628.525681,3757,2025年7月,332,3889.210494,1,5153,2084,722,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_2-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_2-OPATEST,100638-Stationery,Test,Group 2,Stationary,0.00053043
TH,7月17日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_3-opatest,245.040035,536511,3744,349,2766.319744,735,8357.287227,193,1448.608203,2848,2025年7月,404,3612.57544,2,4854,2178,825,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_3-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_3-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_3-OPATEST,100638-Stationery,Test,Group 3,Stationary,0.000456729
TH,7月17日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_4-opatest,245.249351,694707,4526,425,4606.612268,939,9817.431334,217,1937.984974,3059,2025年7月,487,4833.514595,1,5906,2466,1177,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_4-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_4-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_4-OPATEST,100638-Stationery,Test,Group 4,Stationary,0.000353026
TH,7月17日,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_5-opatest,653.254529,1169303,12268,983,11228.91735,2233,24711.777,338,3697.869196,8281,2025年7月,975,11490.28575,7,16301,6280,2463,TH_ALL_SEM_SHOPPING_NB_SP|STATIONERY|ALL|CPO1.0_5-OPATEST,th_all_sem_shopping_nb_sp|stationery|all|cpo1.0_5-opatest,Shopping Ads,STATIONERY,STATIONERY|ALL|CPO1.0_5-OPATEST,100638-Stationery,Test,Group 5,Stationary,0.00055867
TH,7月18日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0-control-opatest,263.542731,854722,8849,914,18989.51995,1027,22123.41144,269,6466.013672,7483,2025年7月,567,13293.23962,7,15124,4477,2764,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0-CONTROL-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0-control-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0-CONTROL-OPATEST,100535-Audio,Control,,Audio,0.000308337
TH,7月18日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_1-opatest,81.16,167707,1396,159,4521.954674,243,7805.456337,55,2324.547358,950,2025年7月,134,5986.974997,0,2189,853,293,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_1-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_1-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_1-OPATEST,100535-Audio,Test,Group 1,Audio,0.000483939
TH,7月18日,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_2-opatest,81.402808,112188,1047,147,3141.150388,198,2093.683027,47,635.3614977,1024,2025年7月,108,1200.007698,0,1897,646,187,TH_ALL_SEM_SHOPPING_NB_SP|AUDIO|ALL|CPO1.0_2-OPATEST,th_all_sem_shopping_nb_sp|audio|all|cpo1.0_2-opatest,Shopping Ads,AUDIO,AUDIO|ALL|CPO1.0_2-OPATEST,100535-Audio,Test,Group 2,Audio,0.000725593
