coupon_id,cust_id,status,issue_date,expire_date,discount_amount,coupon_type,used_date,used_order_id,grass_date
CP00000049,1001401,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/20
CP00000050,1001161,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000051,1001205,可用,2025/11/20,2025/11/27,34.0,cash,,,2025/11/20
CP00000052,1000533,已用,2025/11/20,2025/11/27,0.85,discount,2025/11/20,12,2025/11/20
CP00000053,1001195,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/20
CP00000054,1002084,可用,2025/11/20,2025/11/27,6.0,cash,,,2025/11/20
CP00000055,1001379,可用,2025/11/20,2025/11/27,32.0,cash,,,2025/11/20
CP00000056,1001503,可用,2025/11/20,2025/11/27,40.0,cash,,,2025/11/20
CP00000057,1000190,已用,2025/11/20,2025/11/27,11.0,cash,2025/11/20,26,2025/11/20
CP00000058,1002621,可用,2025/11/20,2025/11/27,22.0,cash,,,2025/11/20
CP00000059,1002196,可用,2025/11/20,2025/11/27,7.0,cash,,,2025/11/20
CP00000060,1000478,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/20
CP00000061,1000088,可用,2025/11/20,2025/11/27,38.0,cash,,,2025/11/20
CP00000001,1000176,已用,2025/11/20,2025/11/27,27.0,cash,2025/11/20,16,2025/11/21
CP00000002,1001669,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000003,1000173,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000004,1001620,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000005,1002994,可用,2025/11/20,2025/11/27,47.0,cash,,,2025/11/21
CP00000006,1001403,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000007,1002842,已用,2025/11/20,2025/11/27,35.0,cash,2025/11/20,28,2025/11/21
CP00000008,1001748,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000009,1000074,已用,2025/11/20,2025/11/27,0.8,discount,2025/11/20,33,2025/11/21
CP00000010,1000741,可用,2025/11/20,2025/11/27,31.0,cash,,,2025/11/21
CP00000011,1001127,可用,2025/11/20,2025/11/27,46.0,cash,,,2025/11/21
CP00000012,1000974,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000013,1002773,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000014,1001510,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000015,1001373,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000016,1002873,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000017,1001784,已用,2025/11/20,2025/11/27,9.0,cash,2025/11/20,25,2025/11/21
CP00000018,1000540,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000019,1001264,可用,2025/11/20,2025/11/27,49.0,cash,,,2025/11/21
CP00000020,1002128,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000021,1001384,可用,2025/11/20,2025/11/27,18.0,cash,,,2025/11/21
CP00000022,1001410,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000023,1000378,已用,2025/11/20,2025/11/27,31.0,cash,2025/11/20,6,2025/11/21
CP00000024,1000150,可用,2025/11/20,2025/11/27,7.0,cash,,,2025/11/21
CP00000025,1002544,可用,2025/11/20,2025/11/27,12.0,cash,,,2025/11/21
CP00000026,1001046,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000027,1001316,可用,2025/11/20,2025/11/27,5.0,cash,,,2025/11/21
CP00000028,1001779,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000029,1002129,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000030,1000394,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000031,1001383,已用,2025/11/20,2025/11/27,0.9,discount,2025/11/20,20,2025/11/21
CP00000032,1000347,可用,2025/11/20,2025/11/27,21.0,cash,,,2025/11/21
CP00000033,1002017,可用,2025/11/20,2025/11/27,48.0,cash,,,2025/11/21
CP00000034,1000107,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000035,1002849,可用,2025/11/20,2025/11/27,42.0,cash,,,2025/11/21
CP00000036,1001756,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000037,1000315,可用,2025/11/20,2025/11/27,6.0,cash,,,2025/11/21
CP00000038,1001714,可用,2025/11/20,2025/11/27,41.0,cash,,,2025/11/21
CP00000039,1000570,可用,2025/11/20,2025/11/27,31.0,cash,,,2025/11/21
CP00000040,1002583,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000041,1002547,可用,2025/11/20,2025/11/27,47.0,cash,,,2025/11/21
CP00000042,1000497,可用,2025/11/20,2025/11/27,45.0,cash,,,2025/11/21
CP00000043,1002248,可用,2025/11/20,2025/11/27,5.0,cash,,,2025/11/21
CP00000044,1002117,可用,2025/11/20,2025/11/27,16.0,cash,,,2025/11/21
CP00000045,1001753,可用,2025/11/20,2025/11/27,22.0,cash,,,2025/11/21
CP00000046,1000528,已用,2025/11/20,2025/11/27,37.0,cash,2025/11/20,31,2025/11/21
CP00000047,1002953,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000048,1002440,可用,2025/11/20,2025/11/27,27.0,cash,,,2025/11/21
CP00000049,1001401,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/21
CP00000050,1001161,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000051,1001205,可用,2025/11/20,2025/11/27,34.0,cash,,,2025/11/21
CP00000052,1000533,已用,2025/11/20,2025/11/27,0.85,discount,2025/11/20,12,2025/11/21
CP00000053,1001195,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/21
CP00000054,1002084,可用,2025/11/20,2025/11/27,6.0,cash,,,2025/11/21
CP00000055,1001379,可用,2025/11/20,2025/11/27,32.0,cash,,,2025/11/21
CP00000056,1001503,可用,2025/11/20,2025/11/27,40.0,cash,,,2025/11/21
CP00000057,1000190,已用,2025/11/20,2025/11/27,11.0,cash,2025/11/20,26,2025/11/21
CP00000058,1002621,可用,2025/11/20,2025/11/27,22.0,cash,,,2025/11/21
CP00000059,1002196,可用,2025/11/20,2025/11/27,7.0,cash,,,2025/11/21
CP00000060,1000478,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/21
CP00000061,1000088,可用,2025/11/20,2025/11/27,38.0,cash,,,2025/11/21
CP00000062,1002843,可用,2025/11/21,2025/11/28,32.0,cash,,,2025/11/21
CP00000063,1000720,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000064,1000460,可用,2025/11/21,2025/11/28,43.0,cash,,,2025/11/21
CP00000065,1002181,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000066,1000156,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000067,1002741,已用,2025/11/21,2025/11/28,24.0,cash,2025/11/21,6,2025/11/21
CP00000068,1002668,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000069,1000375,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000070,1001201,可用,2025/11/21,2025/11/28,39.0,cash,,,2025/11/21
CP00000071,1002740,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000072,1002797,可用,2025/11/21,2025/11/28,50.0,cash,,,2025/11/21
CP00000073,1001575,可用,2025/11/21,2025/11/28,33.0,cash,,,2025/11/21
CP00000074,1001053,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,5,2025/11/21
CP00000075,1000830,可用,2025/11/21,2025/11/28,18.0,cash,,,2025/11/21
CP00000076,1000796,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000077,1001923,可用,2025/11/21,2025/11/28,38.0,cash,,,2025/11/21
CP00000078,1001064,已用,2025/11/21,2025/11/28,38.0,cash,2025/11/21,25,2025/11/21
CP00000079,1001349,可用,2025/11/21,2025/11/28,24.0,cash,,,2025/11/21
CP00000080,1001662,可用,2025/11/21,2025/11/28,10.0,cash,,,2025/11/21
CP00000081,1002259,可用,2025/11/21,2025/11/28,46.0,cash,,,2025/11/21
CP00000082,1001594,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,30,2025/11/21
CP00000083,1002397,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,16,2025/11/21
CP00000084,1001167,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000085,1000061,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000086,1001567,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,21,2025/11/21
CP00000087,1000043,可用,2025/11/21,2025/11/28,20.0,cash,,,2025/11/21
CP00000088,1001759,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000089,1000229,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000090,1000129,可用,2025/11/21,2025/11/28,33.0,cash,,,2025/11/21
CP00000091,1001126,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000092,1002939,可用,2025/11/21,2025/11/28,9.0,cash,,,2025/11/21
CP00000093,1000538,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000094,1001444,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,23,2025/11/21
CP00000095,1001663,可用,2025/11/21,2025/11/28,45.0,cash,,,2025/11/21
CP00000096,1002468,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000097,1000498,已用,2025/11/21,2025/11/28,50.0,cash,2025/11/21,14,2025/11/21
CP00000098,1001624,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000099,1000665,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000100,1002958,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000101,1000696,可用,2025/11/21,2025/11/28,48.0,cash,,,2025/11/21
CP00000102,1001632,已用,2025/11/21,2025/11/28,15.0,cash,2025/11/21,26,2025/11/21
CP00000103,1001467,可用,2025/11/21,2025/11/28,42.0,cash,,,2025/11/21
CP00000104,1000763,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,12,2025/11/21
CP00000105,1000907,可用,2025/11/21,2025/11/28,11.0,cash,,,2025/11/21
CP00000106,1001736,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000107,1001969,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000108,1000272,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000109,1001601,可用,2025/11/21,2025/11/28,43.0,cash,,,2025/11/21
CP00000110,1000947,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000111,1001790,可用,2025/11/21,2025/11/28,33.0,cash,,,2025/11/21
CP00000112,1002373,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000113,1000553,可用,2025/11/21,2025/11/28,32.0,cash,,,2025/11/21
CP00000114,1002730,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000115,1000082,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000116,1001165,可用,2025/11/21,2025/11/28,36.0,cash,,,2025/11/21
CP00000117,1001813,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000118,1000062,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/21
CP00000119,1001868,可用,2025/11/21,2025/11/28,20.0,cash,,,2025/11/21
CP00000120,1001619,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,11,2025/11/21
CP00000121,1001934,已用,2025/11/21,2025/11/28,33.0,cash,2025/11/21,28,2025/11/21
CP00000122,1001461,已用,2025/11/21,2025/11/28,0.85,discount,2025/11/21,34,2025/11/21
CP00000123,1001810,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/21
CP00000124,1002795,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,32,2025/11/21
CP00000125,1000874,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/21
CP00000001,1000176,已用,2025/11/20,2025/11/27,27.0,cash,2025/11/20,16,2025/11/22
CP00000002,1001669,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000003,1000173,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000004,1001620,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000005,1002994,可用,2025/11/20,2025/11/27,47.0,cash,,,2025/11/22
CP00000006,1001403,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000007,1002842,已用,2025/11/20,2025/11/27,35.0,cash,2025/11/20,28,2025/11/22
CP00000008,1001748,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000009,1000074,已用,2025/11/20,2025/11/27,0.8,discount,2025/11/20,33,2025/11/22
CP00000010,1000741,可用,2025/11/20,2025/11/27,31.0,cash,,,2025/11/22
CP00000011,1001127,可用,2025/11/20,2025/11/27,46.0,cash,,,2025/11/22
CP00000012,1000974,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000013,1002773,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000014,1001510,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000015,1001373,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000016,1002873,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000017,1001784,已用,2025/11/20,2025/11/27,9.0,cash,2025/11/20,25,2025/11/22
CP00000018,1000540,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000019,1001264,可用,2025/11/20,2025/11/27,49.0,cash,,,2025/11/22
CP00000020,1002128,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000021,1001384,可用,2025/11/20,2025/11/27,18.0,cash,,,2025/11/22
CP00000022,1001410,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000023,1000378,已用,2025/11/20,2025/11/27,31.0,cash,2025/11/20,6,2025/11/22
CP00000024,1000150,可用,2025/11/20,2025/11/27,7.0,cash,,,2025/11/22
CP00000025,1002544,可用,2025/11/20,2025/11/27,12.0,cash,,,2025/11/22
CP00000026,1001046,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000027,1001316,可用,2025/11/20,2025/11/27,5.0,cash,,,2025/11/22
CP00000028,1001779,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000029,1002129,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000030,1000394,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000031,1001383,已用,2025/11/20,2025/11/27,0.9,discount,2025/11/20,20,2025/11/22
CP00000032,1000347,可用,2025/11/20,2025/11/27,21.0,cash,,,2025/11/22
CP00000033,1002017,可用,2025/11/20,2025/11/27,48.0,cash,,,2025/11/22
CP00000034,1000107,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000035,1002849,可用,2025/11/20,2025/11/27,42.0,cash,,,2025/11/22
CP00000036,1001756,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000037,1000315,可用,2025/11/20,2025/11/27,6.0,cash,,,2025/11/22
CP00000038,1001714,可用,2025/11/20,2025/11/27,41.0,cash,,,2025/11/22
CP00000039,1000570,可用,2025/11/20,2025/11/27,31.0,cash,,,2025/11/22
CP00000040,1002583,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000041,1002547,可用,2025/11/20,2025/11/27,47.0,cash,,,2025/11/22
CP00000042,1000497,可用,2025/11/20,2025/11/27,45.0,cash,,,2025/11/22
CP00000043,1002248,可用,2025/11/20,2025/11/27,5.0,cash,,,2025/11/22
CP00000044,1002117,可用,2025/11/20,2025/11/27,16.0,cash,,,2025/11/22
CP00000045,1001753,可用,2025/11/20,2025/11/27,22.0,cash,,,2025/11/22
CP00000046,1000528,已用,2025/11/20,2025/11/27,37.0,cash,2025/11/20,31,2025/11/22
CP00000047,1002953,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000048,1002440,可用,2025/11/20,2025/11/27,27.0,cash,,,2025/11/22
CP00000049,1001401,可用,2025/11/20,2025/11/27,0.9,discount,,,2025/11/22
CP00000050,1001161,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000051,1001205,可用,2025/11/20,2025/11/27,34.0,cash,,,2025/11/22
CP00000052,1000533,已用,2025/11/20,2025/11/27,0.85,discount,2025/11/20,12,2025/11/22
CP00000053,1001195,可用,2025/11/20,2025/11/27,0.85,discount,,,2025/11/22
CP00000054,1002084,可用,2025/11/20,2025/11/27,6.0,cash,,,2025/11/22
CP00000055,1001379,可用,2025/11/20,2025/11/27,32.0,cash,,,2025/11/22
CP00000056,1001503,可用,2025/11/20,2025/11/27,40.0,cash,,,2025/11/22
CP00000057,1000190,已用,2025/11/20,2025/11/27,11.0,cash,2025/11/20,26,2025/11/22
CP00000058,1002621,可用,2025/11/20,2025/11/27,22.0,cash,,,2025/11/22
CP00000059,1002196,可用,2025/11/20,2025/11/27,7.0,cash,,,2025/11/22
CP00000060,1000478,可用,2025/11/20,2025/11/27,0.8,discount,,,2025/11/22
CP00000061,1000088,可用,2025/11/20,2025/11/27,38.0,cash,,,2025/11/22
CP00000062,1002843,可用,2025/11/21,2025/11/28,32.0,cash,,,2025/11/22
CP00000063,1000720,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000064,1000460,可用,2025/11/21,2025/11/28,43.0,cash,,,2025/11/22
CP00000065,1002181,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000066,1000156,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000067,1002741,已用,2025/11/21,2025/11/28,24.0,cash,2025/11/21,6,2025/11/22
CP00000068,1002668,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000069,1000375,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000070,1001201,可用,2025/11/21,2025/11/28,39.0,cash,,,2025/11/22
CP00000071,1002740,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000072,1002797,可用,2025/11/21,2025/11/28,50.0,cash,,,2025/11/22
CP00000073,1001575,可用,2025/11/21,2025/11/28,33.0,cash,,,2025/11/22
CP00000074,1001053,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,5,2025/11/22
CP00000075,1000830,可用,2025/11/21,2025/11/28,18.0,cash,,,2025/11/22
CP00000076,1000796,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000077,1001923,可用,2025/11/21,2025/11/28,38.0,cash,,,2025/11/22
CP00000078,1001064,已用,2025/11/21,2025/11/28,38.0,cash,2025/11/21,25,2025/11/22
CP00000079,1001349,可用,2025/11/21,2025/11/28,24.0,cash,,,2025/11/22
CP00000080,1001662,可用,2025/11/21,2025/11/28,10.0,cash,,,2025/11/22
CP00000081,1002259,可用,2025/11/21,2025/11/28,46.0,cash,,,2025/11/22
CP00000082,1001594,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,30,2025/11/22
CP00000083,1002397,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,16,2025/11/22
CP00000084,1001167,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000085,1000061,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000086,1001567,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,21,2025/11/22
CP00000087,1000043,可用,2025/11/21,2025/11/28,20.0,cash,,,2025/11/22
CP00000088,1001759,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000089,1000229,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000090,1000129,可用,2025/11/21,2025/11/28,33.0,cash,,,2025/11/22
CP00000091,1001126,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000092,1002939,可用,2025/11/21,2025/11/28,9.0,cash,,,2025/11/22
CP00000093,1000538,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000094,1001444,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,23,2025/11/22
CP00000095,1001663,可用,2025/11/21,2025/11/28,45.0,cash,,,2025/11/22
CP00000096,1002468,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000097,1000498,已用,2025/11/21,2025/11/28,50.0,cash,2025/11/21,14,2025/11/22
CP00000098,1001624,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000099,1000665,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000100,1002958,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000101,1000696,可用,2025/11/21,2025/11/28,48.0,cash,,,2025/11/22
CP00000102,1001632,已用,2025/11/21,2025/11/28,15.0,cash,2025/11/21,26,2025/11/22
CP00000103,1001467,可用,2025/11/21,2025/11/28,42.0,cash,,,2025/11/22
CP00000104,1000763,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,12,2025/11/22
CP00000105,1000907,可用,2025/11/21,2025/11/28,11.0,cash,,,2025/11/22
CP00000106,1001736,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000107,1001969,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000108,1000272,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000109,1001601,可用,2025/11/21,2025/11/28,43.0,cash,,,2025/11/22
CP00000110,1000947,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000111,1001790,可用,2025/11/21,2025/11/28,33.0,cash,,,2025/11/22
CP00000112,1002373,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000113,1000553,可用,2025/11/21,2025/11/28,32.0,cash,,,2025/11/22
CP00000114,1002730,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000115,1000082,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000116,1001165,可用,2025/11/21,2025/11/28,36.0,cash,,,2025/11/22
CP00000117,1001813,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000118,1000062,可用,2025/11/21,2025/11/28,0.8,discount,,,2025/11/22
CP00000119,1001868,可用,2025/11/21,2025/11/28,20.0,cash,,,2025/11/22
CP00000120,1001619,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,11,2025/11/22
CP00000121,1001934,已用,2025/11/21,2025/11/28,33.0,cash,2025/11/21,28,2025/11/22
CP00000122,1001461,已用,2025/11/21,2025/11/28,0.85,discount,2025/11/21,34,2025/11/22
CP00000123,1001810,可用,2025/11/21,2025/11/28,0.85,discount,,,2025/11/22
CP00000124,1002795,已用,2025/11/21,2025/11/28,0.8,discount,2025/11/21,32,2025/11/22
CP00000125,1000874,可用,2025/11/21,2025/11/28,0.9,discount,,,2025/11/22
CP00000126,1001155,可用,2025/11/22,2025/11/29,0.8,discount,,,2025/11/22
CP00000127,1001435,可用,2025/11/22,2025/11/29,0.9,discount,,,2025/11/22
CP00000128,1001205,可用,2025/11/22,2025/11/29,13.0,cash,,,2025/11/22
