cust_id,open_id,orders_cnt,sex,n_age,ltv_360d,open_date,last_visit_date,city_level,create_timestamp,region,fixed_random_num,grass_date
1002953,op1002754,0,1,21,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,20,2025/11/20
1000528,op1000329,1,0,54,B,2025/11/20,2025/11/20,5,2025/11/20 0:00,西南,77,2025/11/20
1002196,op1001997,1,0,22,C,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,53,2025/11/20
1000533,op1000334,1,0,54,C,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,49,2025/11/20
1001046,op1000847,1,1,20,A,2025/11/20,2025/11/20,3,2025/11/20 0:00,华东,21,2025/11/20
1000150,op999951,1,0,47,C,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,35,2025/11/20
1002583,op1002384,1,1,52,B,2025/11/20,2025/11/20,1,2025/11/20 0:00,华东,93,2025/11/20
1002842,op1002643,1,1,48,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,15,2025/11/20
1000540,op1000341,0,0,58,B,2025/11/20,2025/11/20,1,2025/11/20 0:00,华东,21,2025/11/20
1002849,op1002650,1,0,50,A,2025/11/20,2025/11/20,1,2025/11/20 0:00,西南,66,2025/11/20
1001316,op1001117,0,1,49,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,华东,13,2025/11/20
1002084,op1001885,0,0,61,C,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,81,2025/11/20
1001195,op1000996,0,1,62,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,华东,82,2025/11/20
1000173,op999974,1,0,49,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,13,2025/11/20
1000176,op999977,1,1,39,C,2025/11/20,2025/11/20,4,2025/11/20 0:00,华东,43,2025/11/20
1001714,op1001515,1,0,18,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,华东,4,2025/11/20
1002994,op1002795,1,1,21,A,2025/11/20,2025/11/20,3,2025/11/20 0:00,西南,3,2025/11/20
1001205,op1001006,1,0,49,C,2025/11/20,2025/11/20,1,2025/11/20 0:00,华东,31,2025/11/20
1002873,op1002674,0,1,21,B,2025/11/20,2025/11/20,4,2025/11/20 0:00,华东,61,2025/11/20
1000570,op1000371,0,0,62,A,2025/11/20,2025/11/20,2,2025/11/20 0:00,西南,45,2025/11/20
1000315,op1000116,1,0,56,A,2025/11/20,2025/11/20,4,2025/11/20 0:00,西南,48,2025/11/20
1002621,op1002422,0,1,42,A,2025/11/20,2025/11/20,3,2025/11/20 0:00,华东,88,2025/11/20
1000190,op999991,1,0,54,C,2025/11/20,2025/11/20,1,2025/11/20 0:00,西南,37,2025/11/20
1001601,op1001402,1,0,36,B,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,30,2025/11/21
1002373,op1002174,0,0,44,A,2025/11/21,2025/11/21,1,2025/11/21 0:00,西南,85,2025/11/21
1001349,op1001150,0,1,27,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,56,2025/11/21
1001736,op1001537,0,1,27,C,2025/11/21,2025/11/21,1,2025/11/21 0:00,西南,40,2025/11/21
1001868,op1001669,1,1,58,C,2025/11/21,2025/11/21,1,2025/11/21 0:00,华东,6,2025/11/21
1000460,op1000261,0,0,61,B,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,23,2025/11/21
1000720,op1000521,0,0,44,A,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,37,2025/11/21
1000082,op999883,1,1,60,B,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,52,2025/11/21
1002259,op1002060,1,1,62,A,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,70,2025/11/21
1001619,op1001420,1,0,54,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,华东,43,2025/11/21
1001624,op1001425,0,0,30,A,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,27,2025/11/21
1002397,op1002198,1,1,61,A,2025/11/21,2025/11/21,3,2025/11/21 0:00,华东,96,2025/11/21
1001759,op1001560,0,0,43,C,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,9,2025/11/21
1001632,op1001433,1,0,51,B,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,59,2025/11/21
1000830,op1000631,0,0,51,B,2025/11/21,2025/11/21,3,2025/11/21 0:00,西南,63,2025/11/21
1000229,op1000030,0,0,44,B,2025/11/21,2025/11/21,4,2025/11/21 0:00,华东,37,2025/11/21
1001126,op1000927,0,1,57,A,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,71,2025/11/21
1000874,op1000675,1,1,67,A,2025/11/21,2025/11/21,3,2025/11/21 0:00,西南,88,2025/11/21
1002795,op1002596,1,1,30,A,2025/11/21,2025/11/21,4,2025/11/21 0:00,华东,84,2025/11/21
1002668,op1002469,1,1,29,B,2025/11/21,2025/11/21,1,2025/11/21 0:00,华东,50,2025/11/21
1002797,op1002598,1,0,36,B,2025/11/21,2025/11/21,1,2025/11/21 0:00,西南,59,2025/11/21
1000498,op1000299,1,1,23,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,40,2025/11/21
1000375,op1000176,0,0,54,C,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,51,2025/11/21
1000763,op1000564,1,1,62,C,2025/11/21,2025/11/21,3,2025/11/21 0:00,华东,26,2025/11/21
1002939,op1002740,0,0,30,B,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,54,2025/11/21
1001790,op1001591,1,0,23,A,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,11,2025/11/21
1001662,op1001463,0,1,61,C,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,23,2025/11/21
1001663,op1001464,0,1,60,B,2025/11/21,2025/11/21,1,2025/11/21 0:00,西南,3,2025/11/21
1000129,op999930,1,1,48,C,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,55,2025/11/21
1001923,op1001724,0,1,66,B,2025/11/21,2025/11/21,2,2025/11/21 0:00,华东,73,2025/11/21
1002181,op1001982,0,0,51,A,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,85,2025/11/21
1000907,op1000708,0,1,44,C,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,10,2025/11/21
1001165,op1000966,0,1,24,A,2025/11/21,2025/11/21,5,2025/11/21 0:00,西南,28,2025/11/21
1001934,op1001735,1,1,47,A,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,61,2025/11/21
1001167,op1000968,0,0,22,C,2025/11/21,2025/11/21,3,2025/11/21 0:00,西南,3,2025/11/21
1000272,op1000073,1,1,37,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,99,2025/11/21
1002958,op1002759,0,1,23,A,2025/11/21,2025/11/21,1,2025/11/21 0:00,华东,95,2025/11/21
1001810,op1001611,0,0,26,B,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,5,2025/11/21
1001813,op1001614,1,1,50,C,2025/11/21,2025/11/21,4,2025/11/21 0:00,华东,15,2025/11/21
1000665,op1000466,1,1,42,C,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,5,2025/11/21
1000538,op1000339,0,0,49,B,2025/11/21,2025/11/21,3,2025/11/21 0:00,西南,44,2025/11/21
1002843,op1002644,0,0,32,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,18,2025/11/21
1000156,op999957,1,1,39,B,2025/11/21,2025/11/21,1,2025/11/21 0:00,华东,43,2025/11/21
1001053,op1000854,1,1,57,C,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,7,2025/11/21
1000796,op1000597,1,0,34,B,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,81,2025/11/21
1001567,op1001368,1,1,55,A,2025/11/21,2025/11/21,1,2025/11/21 0:00,华东,2,2025/11/21
1002468,op1002269,1,1,32,B,2025/11/21,2025/11/21,3,2025/11/21 0:00,西南,26,2025/11/21
1001444,op1001245,1,0,25,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,63,2025/11/21
1001575,op1001376,1,0,30,C,2025/11/21,2025/11/21,2,2025/11/21 0:00,华东,44,2025/11/21
1001064,op1000865,1,1,51,C,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,24,2025/11/21
1000553,op1000354,1,1,31,A,2025/11/21,2025/11/21,1,2025/11/21 0:00,华东,97,2025/11/21
1002730,op1002531,1,0,37,C,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,81,2025/11/21
1000043,op999844,0,1,26,B,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,60,2025/11/21
1001201,op1001002,1,0,25,A,2025/11/21,2025/11/21,4,2025/11/21 0:00,西南,23,2025/11/21
1001969,op1001770,0,1,53,A,2025/11/21,2025/11/21,3,2025/11/21 0:00,华东,12,2025/11/21
1000947,op1000748,0,0,41,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,华东,64,2025/11/21
1002740,op1002541,1,1,47,C,2025/11/21,2025/11/21,3,2025/11/21 0:00,华东,58,2025/11/21
1002741,op1002542,1,1,67,A,2025/11/21,2025/11/21,3,2025/11/21 0:00,华东,47,2025/11/21
1001461,op1001262,1,1,25,C,2025/11/21,2025/11/21,2,2025/11/21 0:00,华东,72,2025/11/21
1000696,op1000497,1,1,59,A,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,29,2025/11/21
1001594,op1001395,1,0,68,B,2025/11/21,2025/11/21,5,2025/11/21 0:00,华东,22,2025/11/21
1001467,op1001268,0,1,28,C,2025/11/21,2025/11/21,3,2025/11/21 0:00,西南,98,2025/11/21
1000061,op999862,1,0,65,C,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,37,2025/11/21
1000062,op999863,0,0,63,B,2025/11/21,2025/11/21,2,2025/11/21 0:00,西南,65,2025/11/21
1002368,op1002169,1,1,64,C,2025/11/22,2025/11/22,1,2025/11/22 0:00,西南,15,2025/11/22
1001472,op1001273,0,0,27,C,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,18,2025/11/22
1002625,op1002426,0,0,49,A,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,6,2025/11/22
1000579,op1000380,1,1,33,B,2025/11/22,2025/11/22,3,2025/11/22 0:00,西南,10,2025/11/22
1002371,op1002172,0,1,35,C,2025/11/22,2025/11/22,2,2025/11/22 0:00,西南,65,2025/11/22
1002501,op1002302,1,1,70,A,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,23,2025/11/22
1002372,op1002173,0,0,56,B,2025/11/22,2025/11/22,2,2025/11/22 0:00,西南,35,2025/11/22
1000327,op1000128,0,1,51,B,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,17,2025/11/22
1002633,op1002434,1,1,26,C,2025/11/22,2025/11/22,2,2025/11/22 0:00,华东,82,2025/11/22
1002250,op1002051,1,1,53,B,2025/11/22,2025/11/22,4,2025/11/22 0:00,西南,90,2025/11/22
1001107,op1000908,0,1,22,B,2025/11/22,2025/11/22,2,2025/11/22 0:00,西南,56,2025/11/22
1002901,op1002702,1,0,23,C,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,33,2025/11/22
1001366,op1001167,1,1,70,B,2025/11/22,2025/11/22,1,2025/11/22 0:00,华东,95,2025/11/22
1000854,op1000655,1,1,54,B,2025/11/22,2025/11/22,5,2025/11/22 0:00,西南,88,2025/11/22
1002006,op1001807,1,0,43,A,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,44,2025/11/22
1000345,op1000146,1,0,21,B,2025/11/22,2025/11/22,4,2025/11/22 0:00,西南,32,2025/11/22
1001883,op1001684,1,1,56,C,2025/11/22,2025/11/22,3,2025/11/22 0:00,华东,84,2025/11/22
1000604,op1000405,1,0,55,C,2025/11/22,2025/11/22,3,2025/11/22 0:00,华东,3,2025/11/22
1000605,op1000406,0,0,30,C,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,12,2025/11/22
1002657,op1002458,1,0,42,B,2025/11/22,2025/11/22,2,2025/11/22 0:00,西南,95,2025/11/22
1001379,op1001180,0,0,34,A,2025/11/20,2025/11/22,5,2025/11/22 0:00,西南,37,2025/11/22
1002148,op1001949,1,0,31,A,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,40,2025/11/22
1002276,op1002077,0,1,34,C,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,10,2025/11/22
1001511,op1001312,1,0,30,C,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,73,2025/11/22
1001155,op1000956,0,0,51,A,2025/11/22,2025/11/22,4,2025/11/22 0:00,西南,29,2025/11/22
1000902,op1000703,0,1,41,C,2025/11/22,2025/11/22,5,2025/11/22 0:00,西南,45,2025/11/22
1000007,op999808,1,1,24,A,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,46,2025/11/22
1001800,op1001601,1,1,31,B,2025/11/22,2025/11/22,5,2025/11/22 0:00,华东,60,2025/11/22
1001546,op1001347,1,1,28,C,2025/11/22,2025/11/22,2,2025/11/22 0:00,华东,9,2025/11/22
1002064,op1001865,1,1,18,B,2025/11/22,2025/11/22,3,2025/11/22 0:00,华东,7,2025/11/22
1001435,op1001236,1,0,31,A,2025/11/22,2025/11/22,1,2025/11/22 0:00,西南,87,2025/11/22
1002463,op1002264,1,0,38,C,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,20,2025/11/22
1001958,op1001759,0,1,50,C,2025/11/22,2025/11/22,1,2025/11/22 0:00,西南,54,2025/11/22
1001205,op1001006,2,0,49,C,2025/11/20,2025/11/22,1,2025/11/22 0:00,华东,31,2025/11/22
1001333,op1001134,0,1,55,A,2025/11/22,2025/11/22,1,2025/11/22 0:00,西南,15,2025/11/22
1000952,op1000753,0,0,34,A,2025/11/22,2025/11/22,4,2025/11/22 0:00,西南,72,2025/11/22
1001977,op1001778,0,0,43,A,2025/11/22,2025/11/22,4,2025/11/22 0:00,华东,53,2025/11/22
1000826,op1000627,0,0,51,B,2025/11/22,2025/11/22,4,2025/11/22 0:00,西南,59,2025/11/22
1001340,op1001141,0,0,49,C,2025/11/22,2025/11/22,1,2025/11/22 0:00,华东,37,2025/11/22
1002008,op1001809,0,1,35,B,2025/11/23,2025/11/23,3,2025/11/23 0:00,西南,11,2025/11/23
1000481,op1000282,0,0,26,B,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,43,2025/11/23
1001513,op1001314,0,0,19,B,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,91,2025/11/23
1001002,op1000803,0,0,37,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,43,2025/11/23
1000494,op1000295,0,0,54,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,56,2025/11/23
1002035,op1001836,0,1,51,B,2025/11/23,2025/11/23,1,2025/11/23 0:00,华东,83,2025/11/23
1000500,op1000301,0,1,24,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,9,2025/11/23
1002047,op1001848,1,1,25,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,30,2025/11/23
1000516,op1000317,1,0,38,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,46,2025/11/23
1000519,op1000320,1,1,49,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,华东,98,2025/11/23
1001043,op1000844,1,1,38,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,12,2025/11/23
1001044,op1000845,1,0,63,B,2025/11/23,2025/11/23,3,2025/11/23 0:00,华东,68,2025/11/23
1002067,op1001868,0,0,36,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,46,2025/11/23
1001059,op1000860,0,1,70,A,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,38,2025/11/23
1002606,op1002407,1,0,46,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,57,2025/11/23
1001072,op1000873,0,1,48,A,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,20,2025/11/23
1002099,op1001900,0,0,40,C,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,66,2025/11/23
1001589,op1001390,0,0,51,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,16,2025/11/23
1002640,op1002441,1,0,33,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,57,2025/11/23
1002135,op1001936,1,1,21,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,56,2025/11/23
1000093,op999894,1,1,57,C,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,71,2025/11/23
1002147,op1001948,0,1,44,C,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,36,2025/11/23
1000625,op1000426,1,0,19,A,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,100,2025/11/23
1002174,op1001975,1,1,22,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,19,2025/11/23
1001669,op1001470,1,1,65,B,2025/11/20,2025/11/23,2,2025/11/23 0:00,西南,41,2025/11/23
1002700,op1002501,0,0,27,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,86,2025/11/23
1001682,op1001483,1,0,66,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,71,2025/11/23
1002708,op1002509,0,0,62,A,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,42,2025/11/23
1000150,op999951,2,0,47,C,2025/11/20,2025/11/23,3,2025/11/23 0:00,西南,35,2025/11/23
1000669,op1000470,1,1,35,B,2025/11/23,2025/11/23,1,2025/11/23 0:00,华东,18,2025/11/23
1001190,op1000991,1,0,25,B,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,22,2025/11/23
1000172,op999973,1,1,20,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,50,2025/11/23
1002742,op1002543,1,0,48,A,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,42,2025/11/23
1000698,op1000499,1,1,47,A,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,82,2025/11/23
1001733,op1001534,0,1,38,B,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,14,2025/11/23
1000717,op1000518,0,0,44,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,71,2025/11/23
1002256,op1002057,1,0,43,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,8,2025/11/23
1002781,op1002582,0,0,49,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,86,2025/11/23
1001249,op1001050,0,0,20,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,57,2025/11/23
1002273,op1002074,0,1,56,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,82,2025/11/23
1002787,op1002588,0,0,25,B,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,59,2025/11/23
1000230,op1000031,1,1,40,A,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,20,2025/11/23
1001254,op1001055,0,0,65,C,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,83,2025/11/23
1001260,op1001061,0,1,30,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,87,2025/11/23
1002802,op1002603,1,0,56,B,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,46,2025/11/23
1000250,op1000051,1,1,24,A,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,68,2025/11/23
1000253,op1000054,0,1,40,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,14,2025/11/23
1001279,op1001080,1,0,40,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,47,2025/11/23
1000767,op1000568,0,1,61,C,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,55,2025/11/23
1001836,op1001637,1,1,37,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,69,2025/11/23
1002869,op1002670,1,1,54,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,19,2025/11/23
1000317,op1000118,0,1,43,B,2025/11/23,2025/11/23,3,2025/11/23 0:00,华东,15,2025/11/23
1001856,op1001657,1,1,32,C,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,19,2025/11/23
1002371,op1002172,1,1,35,C,2025/11/22,2025/11/23,2,2025/11/23 0:00,西南,65,2025/11/23
1001355,op1001156,1,1,68,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,83,2025/11/23
1002891,op1002692,1,0,41,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,22,2025/11/23
1001357,op1001158,1,1,56,B,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,47,2025/11/23
1000340,op1000141,0,0,62,A,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,54,2025/11/23
1002905,op1002706,1,0,54,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,71,2025/11/23
1002393,op1002194,1,1,59,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,75,2025/11/23
1002398,op1002199,0,1,53,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,59,2025/11/23
1002399,op1002200,0,1,64,A,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,92,2025/11/23
1001894,op1001695,1,0,22,A,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,20,2025/11/23
1001384,op1001185,2,1,27,A,2025/11/20,2025/11/23,3,2025/11/23 0:00,华东,73,2025/11/23
1000873,op1000674,1,1,52,C,2025/11/23,2025/11/23,3,2025/11/23 0:00,西南,49,2025/11/23
1002924,op1002725,1,0,32,B,2025/11/23,2025/11/23,3,2025/11/23 0:00,西南,52,2025/11/23
1001903,op1001704,0,1,48,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,22,2025/11/23
1001392,op1001193,1,1,26,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,92,2025/11/23
1000883,op1000684,0,1,27,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,华东,87,2025/11/23
1002423,op1002224,0,1,42,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,29,2025/11/23
1001401,op1001202,0,1,65,B,2025/11/20,2025/11/23,4,2025/11/23 0:00,西南,34,2025/11/23
1001402,op1001203,1,1,51,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,华东,41,2025/11/23
1000895,op1000696,1,0,54,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,华东,93,2025/11/23
1001411,op1001212,1,0,67,B,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,4,2025/11/23
1001925,op1001726,1,0,46,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,西南,48,2025/11/23
1000904,op1000705,1,0,67,B,2025/11/23,2025/11/23,3,2025/11/23 0:00,西南,87,2025/11/23
1002955,op1002756,0,1,33,B,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,76,2025/11/23
1000914,op1000715,1,0,19,B,2025/11/23,2025/11/23,5,2025/11/23 0:00,华东,14,2025/11/23
1002964,op1002765,0,1,70,B,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,76,2025/11/23
1002976,op1002777,1,0,48,C,2025/11/23,2025/11/23,1,2025/11/23 0:00,西南,21,2025/11/23
1002978,op1002779,1,1,42,A,2025/11/23,2025/11/23,4,2025/11/23 0:00,西南,85,2025/11/23
1002473,op1002274,1,1,58,A,2025/11/23,2025/11/23,1,2025/11/23 0:00,华东,72,2025/11/23
1000428,op1000229,0,0,37,C,2025/11/23,2025/11/23,2,2025/11/23 0:00,西南,8,2025/11/23
