item_id,category,is_eligible,price,cost_price,is_discounted,discount_rate,rating,Origin,grass_date
90040,服装,Y,235,91,True,0.2,3,福建,2025/11/20
90041,食品,Y,104,39,False,0.0,5,山东,2025/11/20
90042,服装,Y,91,36,False,0.0,2,山东,2025/11/20
90043,食品,Y,493,163,False,0.0,1,福建,2025/11/20
90044,服装,Y,423,216,False,0.0,2,山东,2025/11/20
90045,服装,Y,232,77,True,0.1,5,江苏,2025/11/20
90046,食品,Y,456,236,False,0.0,2,福建,2025/11/20
90047,食品,Y,171,54,False,0.0,2,山东,2025/11/20
90048,食品,Y,248,88,False,0.0,5,江苏,2025/11/20
90049,数码,Y,95,50,True,0.2,5,福建,2025/11/20
90050,食品,Y,197,75,False,0.0,5,浙江,2025/11/20
90051,食品,Y,265,99,False,0.0,5,福建,2025/11/20
90052,服装,Y,86,45,True,0.2,2,江苏,2025/11/20
90053,食品,Y,115,54,False,0.0,5,浙江,2025/11/20
90054,食品,Y,177,60,False,0.0,1,广东,2025/11/20
90055,服装,Y,431,135,False,0.0,1,福建,2025/11/20
90056,服装,Y,161,61,False,0.0,1,山东,2025/11/20
90057,服装,Y,383,139,False,0.0,1,浙江,2025/11/20
90058,数码,Y,104,41,False,0.0,4,广东,2025/11/20
90059,服装,Y,420,207,False,0.0,1,江苏,2025/11/20
90060,数码,Y,260,107,False,0.0,5,江苏,2025/11/20
90061,数码,Y,389,140,False,0.0,2,广东,2025/11/20
90062,数码,Y,230,81,False,0.0,2,福建,2025/11/20
90063,数码,Y,152,81,True,0.2,3,浙江,2025/11/20
90064,数码,Y,229,99,True,0.2,1,福建,2025/11/20
90065,食品,Y,198,71,False,0.0,1,江苏,2025/11/20
90066,服装,Y,156,74,True,0.2,4,浙江,2025/11/20
90067,数码,Y,452,239,False,0.0,1,山东,2025/11/20
90068,数码,Y,228,89,False,0.0,2,福建,2025/11/20
90069,服装,Y,402,224,False,0.0,4,福建,2025/11/20
90070,数码,Y,132,58,False,0.0,4,广东,2025/11/20
90071,服装,Y,449,166,False,0.0,4,福建,2025/11/20
90072,服装,N,332,150,False,0.0,2,浙江,2025/11/20
90073,数码,N,419,172,False,0.0,3,浙江,2025/11/20
90074,数码,Y,491,244,False,0.0,3,福建,2025/11/20
90075,服装,N,82,38,False,0.0,1,广东,2025/11/20
90076,数码,Y,143,97,True,0.2,5,山东,2025/11/20
90077,食品,N,459,264,False,0.0,2,福建,2025/11/20
90078,食品,Y,51,17,False,0.0,1,江苏,2025/11/20
90079,食品,Y,444,206,False,0.0,5,江苏,2025/11/20
90080,服装,Y,296,105,False,0.0,1,江苏,2025/11/20
90081,食品,Y,308,188,True,0.3,3,山东,2025/11/20
90082,服装,Y,371,156,False,0.0,5,山东,2025/11/20
90083,食品,Y,232,76,False,0.0,4,山东,2025/11/20
90084,服装,Y,175,69,False,0.0,3,江苏,2025/11/20
90085,数码,Y,438,163,False,0.0,3,福建,2025/11/20
90086,服装,Y,270,158,False,0.0,1,浙江,2025/11/20
90087,服装,Y,305,192,True,0.1,2,福建,2025/11/20
90088,服装,Y,154,67,False,0.0,5,浙江,2025/11/20
90089,服装,N,398,237,False,0.0,5,福建,2025/11/20
90090,食品,Y,119,43,False,0.0,2,广东,2025/11/20
90091,数码,Y,99,30,False,0.0,1,山东,2025/11/20
90092,数码,Y,111,66,False,0.0,5,福建,2025/11/20
90093,服装,Y,97,39,False,0.0,2,山东,2025/11/20
90094,服装,Y,77,52,True,0.2,5,山东,2025/11/20
90095,食品,Y,372,216,False,0.0,2,浙江,2025/11/20
90096,数码,Y,321,154,True,0.2,2,浙江,2025/11/20
90097,数码,Y,421,279,True,0.1,4,江苏,2025/11/20
90098,服装,Y,76,42,True,0.2,2,山东,2025/11/20
90099,数码,N,50,21,False,0.0,3,江苏,2025/11/20
90100,数码,Y,334,169,False,0.0,1,浙江,2025/11/20
90101,食品,Y,342,104,False,0.0,3,广东,2025/11/20
90102,服装,Y,329,163,True,0.3,1,广东,2025/11/20
90103,服装,Y,473,171,False,0.0,2,江苏,2025/11/20
90104,数码,N,56,40,True,0.3,2,山东,2025/11/20
90105,服装,N,66,22,False,0.0,2,江苏,2025/11/20
90106,食品,Y,437,246,False,0.0,3,福建,2025/11/20
90107,服装,Y,321,128,True,0.2,2,福建,2025/11/20
90108,数码,Y,53,18,False,0.0,1,山东,2025/11/20
90109,服装,Y,320,221,True,0.2,4,浙江,2025/11/20
90110,服装,Y,441,153,False,0.0,1,广东,2025/11/20
90111,数码,N,105,45,False,0.0,2,江苏,2025/11/20
90112,食品,Y,316,162,False,0.0,5,山东,2025/11/20
90113,食品,Y,174,123,True,0.2,2,山东,2025/11/20
90114,食品,Y,388,182,False,0.0,4,福建,2025/11/20
90115,服装,Y,289,199,True,0.2,4,江苏,2025/11/20
90116,数码,Y,164,88,True,0.1,1,广东,2025/11/20
90117,数码,Y,201,82,False,0.0,5,福建,2025/11/20
90118,服装,Y,447,235,True,0.1,2,浙江,2025/11/20
90119,服装,Y,341,217,True,0.2,1,山东,2025/11/20
90120,数码,Y,252,144,False,0.0,5,广东,2025/11/20
90121,服装,Y,315,111,False,0.0,2,广东,2025/11/20
90122,服装,Y,75,33,False,0.0,5,山东,2025/11/20
90123,服装,Y,173,79,False,0.0,1,江苏,2025/11/20
90124,食品,Y,325,106,False,0.0,3,江苏,2025/11/20
90125,食品,Y,119,65,False,0.0,1,福建,2025/11/20
90126,数码,Y,485,267,False,0.0,2,广东,2025/11/20
90127,食品,N,262,122,True,0.3,2,山东,2025/11/20
90128,数码,Y,86,36,False,0.0,5,浙江,2025/11/20
90129,食品,Y,395,174,True,0.1,2,江苏,2025/11/20
90130,数码,Y,65,20,False,0.0,1,浙江,2025/11/20
90131,食品,Y,282,123,True,0.3,1,浙江,2025/11/20
90132,数码,Y,107,70,True,0.2,5,浙江,2025/11/20
90133,服装,Y,402,143,False,0.0,1,福建,2025/11/20
90134,食品,Y,381,156,False,0.0,5,浙江,2025/11/20
90135,食品,Y,126,75,False,0.0,3,福建,2025/11/20
90136,食品,Y,108,58,False,0.0,5,江苏,2025/11/20
90137,数码,Y,128,63,True,0.3,5,广东,2025/11/20
90138,食品,Y,392,185,False,0.0,4,江苏,2025/11/20
90139,数码,N,253,181,True,0.2,1,广东,2025/11/20
90140,服装,Y,472,249,False,0.0,5,山东,2025/11/20
90141,服装,Y,210,86,False,0.0,1,山东,2025/11/20
90142,数码,Y,231,88,True,0.2,5,浙江,2025/11/20
90143,服装,Y,310,146,True,0.2,2,福建,2025/11/20
90144,数码,Y,375,150,False,0.0,3,山东,2025/11/20
90145,数码,Y,321,110,False,0.0,4,山东,2025/11/20
90146,服装,Y,170,72,False,0.0,3,山东,2025/11/20
90147,服装,Y,214,87,False,0.0,1,江苏,2025/11/20
90148,数码,Y,376,165,True,0.2,5,福建,2025/11/20
90149,食品,Y,63,33,True,0.1,1,福建,2025/11/20
90150,服装,Y,232,93,True,0.1,4,山东,2025/11/20
90151,食品,Y,335,146,False,0.0,3,浙江,2025/11/20
90152,食品,Y,448,219,False,0.0,5,广东,2025/11/20
90153,服装,Y,83,26,False,0.0,1,浙江,2025/11/20
90154,数码,Y,161,98,True,0.1,1,山东,2025/11/20
90155,食品,N,428,129,False,0.0,3,广东,2025/11/20
90156,食品,Y,292,131,False,0.0,2,山东,2025/11/20
90157,服装,Y,243,125,False,0.0,2,山东,2025/11/20
90158,食品,N,82,34,False,0.0,2,广东,2025/11/20
90159,食品,Y,83,28,False,0.0,4,山东,2025/11/20
90160,食品,Y,201,104,False,0.0,5,山东,2025/11/20
90161,食品,Y,392,196,False,0.0,3,福建,2025/11/20
90162,数码,Y,131,40,False,0.0,4,广东,2025/11/20
90163,数码,N,419,216,False,0.0,5,福建,2025/11/20
90164,服装,Y,103,40,False,0.0,3,浙江,2025/11/20
90165,数码,Y,497,155,False,0.0,4,江苏,2025/11/20
90166,食品,Y,249,86,False,0.0,3,江苏,2025/11/20
90167,服装,Y,130,61,True,0.1,2,江苏,2025/11/20
90168,数码,Y,328,165,False,0.0,3,广东,2025/11/20
90169,食品,N,61,30,False,0.0,4,福建,2025/11/20
90170,数码,Y,260,139,False,0.0,3,山东,2025/11/20
90171,食品,N,373,214,True,0.2,1,广东,2025/11/20
90172,食品,Y,73,43,True,0.3,5,山东,2025/11/20
90173,食品,Y,112,77,True,0.2,3,江苏,2025/11/20
90174,食品,Y,118,51,False,0.0,1,江苏,2025/11/20
90175,服装,Y,198,100,False,0.0,1,江苏,2025/11/20
90176,服装,Y,154,88,False,0.0,2,江苏,2025/11/20
90177,服装,Y,474,217,False,0.0,5,江苏,2025/11/20
90178,食品,N,112,46,False,0.0,2,广东,2025/11/20
90179,服装,Y,96,31,False,0.0,5,福建,2025/11/20
90180,食品,Y,288,148,False,0.0,1,山东,2025/11/20
90181,服装,N,324,213,True,0.1,2,山东,2025/11/20
90182,服装,Y,373,187,False,0.0,4,广东,2025/11/20
90183,服装,Y,257,126,False,0.0,2,浙江,2025/11/20
90184,数码,Y,487,151,False,0.0,1,浙江,2025/11/20
90185,食品,Y,439,198,False,0.0,3,福建,2025/11/20
90186,服装,Y,286,168,False,0.0,4,山东,2025/11/20
90187,食品,Y,442,225,True,0.1,1,浙江,2025/11/20
90188,服装,N,124,85,True,0.2,1,山东,2025/11/20
90189,服装,Y,221,117,False,0.0,1,山东,2025/11/20
90190,服装,N,478,229,False,0.0,1,广东,2025/11/20
90191,食品,Y,243,97,False,0.0,4,江苏,2025/11/20
90192,食品,Y,195,106,False,0.0,5,浙江,2025/11/20
90193,食品,Y,235,150,True,0.1,5,广东,2025/11/20
90194,数码,Y,238,114,False,0.0,3,广东,2025/11/20
90195,服装,N,89,35,False,0.0,1,浙江,2025/11/20
90196,食品,Y,301,200,True,0.2,3,浙江,2025/11/20
90197,食品,Y,199,73,False,0.0,4,山东,2025/11/20
90198,数码,Y,225,124,False,0.0,5,广东,2025/11/20
90199,数码,Y,104,52,True,0.3,2,广东,2025/11/20
90200,食品,Y,358,161,False,0.0,1,广东,2025/11/20
90001,服装,Y,268,96,False,0.0,2,江苏,2025/11/21
90002,服装,Y,441,255,False,0.0,3,山东,2025/11/21
90003,食品,Y,297,162,True,0.1,1,广东,2025/11/21
90004,服装,Y,388,282,True,0.2,2,浙江,2025/11/21
90005,数码,Y,112,47,True,0.2,4,江苏,2025/11/21
90006,服装,Y,275,162,True,0.1,5,福建,2025/11/21
90007,食品,Y,112,49,False,0.0,5,江苏,2025/11/21
90008,服装,Y,232,124,False,0.0,3,广东,2025/11/21
90009,数码,Y,462,164,False,0.0,3,浙江,2025/11/21
90010,食品,Y,414,272,True,0.1,1,浙江,2025/11/21
90011,服装,Y,124,49,False,0.0,5,山东,2025/11/21
90012,服装,Y,295,176,False,0.0,3,浙江,2025/11/21
90013,数码,Y,388,202,True,0.2,4,浙江,2025/11/21
90014,食品,Y,447,242,False,0.0,2,广东,2025/11/21
90015,服装,Y,367,180,False,0.0,5,浙江,2025/11/21
90016,食品,Y,166,91,False,0.0,4,山东,2025/11/21
90017,数码,Y,223,98,True,0.1,3,广东,2025/11/21
90018,服装,Y,54,29,True,0.2,1,山东,2025/11/21
90019,数码,Y,58,34,False,0.0,3,江苏,2025/11/21
90020,数码,Y,433,238,False,0.0,3,福建,2025/11/21
90021,服装,Y,118,65,False,0.0,5,山东,2025/11/21
90022,食品,Y,353,148,True,0.2,2,福建,2025/11/21
90023,数码,Y,333,199,False,0.0,3,浙江,2025/11/21
90024,食品,Y,465,144,False,0.0,3,广东,2025/11/21
90025,数码,N,324,177,False,0.0,3,浙江,2025/11/21
90026,服装,Y,78,45,False,0.0,2,江苏,2025/11/21
90027,数码,Y,128,49,False,0.0,4,浙江,2025/11/21
90028,食品,Y,236,76,False,0.0,3,江苏,2025/11/21
90029,数码,Y,61,18,False,0.0,3,江苏,2025/11/21
90030,服装,Y,331,135,True,0.2,2,山东,2025/11/21
90031,食品,Y,356,197,False,0.0,3,浙江,2025/11/21
90032,服装,Y,185,98,False,0.0,3,浙江,2025/11/21
90033,服装,Y,345,125,False,0.0,1,广东,2025/11/21
90034,服装,Y,191,75,False,0.0,5,山东,2025/11/21
90035,服装,Y,372,238,True,0.2,5,山东,2025/11/21
90036,数码,Y,232,165,True,0.3,1,福建,2025/11/21
90037,服装,Y,209,120,False,0.0,4,浙江,2025/11/21
90038,食品,Y,176,83,True,0.2,1,广东,2025/11/21
90039,服装,Y,88,57,True,0.1,5,浙江,2025/11/21
90040,服装,Y,235,91,True,0.2,3,福建,2025/11/21
90041,食品,Y,104,39,False,0.0,5,山东,2025/11/21
90042,服装,Y,91,36,False,0.0,2,山东,2025/11/21
90043,食品,Y,493,163,False,0.0,1,福建,2025/11/21
90044,服装,N,423,216,False,0.0,2,山东,2025/11/21
90045,服装,Y,258,77,False,0.0,5,江苏,2025/11/21
90046,食品,Y,456,236,False,0.0,2,福建,2025/11/21
90047,食品,Y,171,54,False,0.0,2,山东,2025/11/21
90048,食品,Y,248,88,False,0.0,5,江苏,2025/11/21
90049,数码,Y,107,50,True,0.1,5,福建,2025/11/21
90050,食品,Y,197,75,False,0.0,5,浙江,2025/11/21
90051,食品,Y,265,99,False,0.0,5,福建,2025/11/21
90052,服装,N,86,45,True,0.2,2,江苏,2025/11/21
90053,食品,Y,115,54,False,0.0,5,浙江,2025/11/21
90054,食品,N,177,60,False,0.0,1,广东,2025/11/21
90055,服装,Y,431,135,False,0.0,1,福建,2025/11/21
90056,服装,Y,112,61,True,0.3,1,山东,2025/11/21
90057,服装,Y,383,139,False,0.0,1,浙江,2025/11/21
90058,数码,Y,83,41,True,0.2,4,广东,2025/11/21
90059,服装,Y,420,207,False,0.0,1,江苏,2025/11/21
90060,数码,Y,208,107,True,0.2,5,江苏,2025/11/21
90061,数码,Y,389,140,False,0.0,2,广东,2025/11/21
90062,数码,Y,207,81,True,0.1,2,福建,2025/11/21
90063,数码,Y,152,81,True,0.2,3,浙江,2025/11/21
90064,数码,Y,287,99,False,0.0,1,福建,2025/11/21
90065,食品,Y,198,71,False,0.0,1,江苏,2025/11/21
90066,服装,Y,195,74,False,0.0,4,浙江,2025/11/21
90067,数码,Y,452,239,False,0.0,1,山东,2025/11/21
90068,数码,Y,228,89,False,0.0,2,福建,2025/11/21
90069,服装,Y,402,224,False,0.0,4,福建,2025/11/21
90070,数码,Y,132,58,False,0.0,4,广东,2025/11/21
90071,服装,Y,449,166,False,0.0,4,福建,2025/11/21
90072,服装,Y,332,150,False,0.0,2,浙江,2025/11/21
90073,数码,Y,419,172,False,0.0,3,浙江,2025/11/21
90074,数码,Y,491,244,False,0.0,3,福建,2025/11/21
90075,服装,Y,82,38,False,0.0,1,广东,2025/11/21
90076,数码,Y,179,97,False,0.0,5,山东,2025/11/21
90077,食品,Y,459,264,False,0.0,2,福建,2025/11/21
90078,食品,Y,51,17,False,0.0,1,江苏,2025/11/21
90079,食品,Y,399,206,True,0.1,5,江苏,2025/11/21
90080,服装,Y,296,105,False,0.0,1,江苏,2025/11/21
90081,食品,Y,441,188,False,0.0,3,山东,2025/11/21
90082,服装,Y,371,156,False,0.0,5,山东,2025/11/21
90083,食品,Y,232,76,False,0.0,4,山东,2025/11/21
90084,服装,N,140,69,True,0.2,3,江苏,2025/11/21
90085,数码,Y,438,163,False,0.0,3,福建,2025/11/21
90086,服装,Y,189,158,True,0.3,1,浙江,2025/11/21
90087,服装,Y,339,192,False,0.0,2,福建,2025/11/21
90088,服装,Y,154,67,False,0.0,5,浙江,2025/11/21
90089,服装,Y,398,237,False,0.0,5,福建,2025/11/21
90090,食品,Y,119,43,False,0.0,2,广东,2025/11/21
90091,数码,Y,99,30,False,0.0,1,山东,2025/11/21
90092,数码,Y,111,66,False,0.0,5,福建,2025/11/21
90093,服装,Y,97,39,False,0.0,2,山东,2025/11/21
90094,服装,Y,97,52,False,0.0,5,山东,2025/11/21
90095,食品,Y,260,216,True,0.3,2,浙江,2025/11/21
90096,数码,N,361,154,True,0.1,2,浙江,2025/11/21
90097,数码,Y,468,279,False,0.0,4,江苏,2025/11/21
90098,服装,Y,95,42,False,0.0,2,山东,2025/11/21
90099,数码,Y,35,21,True,0.3,3,江苏,2025/11/21
90100,数码,Y,334,169,False,0.0,1,浙江,2025/11/21
90101,食品,Y,273,104,True,0.2,3,广东,2025/11/21
90102,服装,Y,471,163,False,0.0,1,广东,2025/11/21
90103,服装,Y,473,171,False,0.0,2,江苏,2025/11/21
90104,数码,Y,81,40,False,0.0,2,山东,2025/11/21
90105,服装,Y,52,22,True,0.2,2,江苏,2025/11/21
90106,食品,Y,437,246,False,0.0,3,福建,2025/11/21
90107,服装,Y,402,128,False,0.0,2,福建,2025/11/21
90108,数码,Y,53,18,False,0.0,1,山东,2025/11/21
90109,服装,Y,400,221,False,0.0,4,浙江,2025/11/21
90110,服装,N,441,153,False,0.0,1,广东,2025/11/21
90111,数码,Y,105,45,False,0.0,2,江苏,2025/11/21
90112,食品,N,221,162,True,0.3,5,山东,2025/11/21
90113,食品,Y,174,123,True,0.2,2,山东,2025/11/21
90114,食品,N,388,182,False,0.0,4,福建,2025/11/21
90115,服装,Y,362,199,False,0.0,4,江苏,2025/11/21
90116,数码,Y,128,88,True,0.3,1,广东,2025/11/21
90117,数码,Y,160,82,True,0.2,5,福建,2025/11/21
90118,服装,Y,497,235,False,0.0,2,浙江,2025/11/21
90119,服装,Y,427,217,False,0.0,1,山东,2025/11/21
90120,数码,Y,252,144,False,0.0,5,广东,2025/11/21
90121,服装,N,315,111,False,0.0,2,广东,2025/11/21
90122,服装,Y,60,33,True,0.2,5,山东,2025/11/21
90123,服装,Y,121,79,True,0.3,1,江苏,2025/11/21
90124,食品,Y,325,106,False,0.0,3,江苏,2025/11/21
90125,食品,Y,119,65,False,0.0,1,福建,2025/11/21
90126,数码,Y,436,267,True,0.1,2,广东,2025/11/21
90127,食品,Y,337,122,True,0.1,2,山东,2025/11/21
90128,数码,Y,77,36,True,0.1,5,浙江,2025/11/21
90129,食品,Y,439,174,False,0.0,2,江苏,2025/11/21
90130,数码,Y,65,20,False,0.0,1,浙江,2025/11/21
90131,食品,Y,403,123,False,0.0,1,浙江,2025/11/21
90132,数码,Y,134,70,False,0.0,5,浙江,2025/11/21
90133,服装,Y,402,143,False,0.0,1,福建,2025/11/21
90134,食品,Y,381,156,False,0.0,5,浙江,2025/11/21
90135,食品,Y,126,75,False,0.0,3,福建,2025/11/21
90136,食品,Y,86,58,True,0.2,5,江苏,2025/11/21
90137,数码,Y,183,63,False,0.0,5,广东,2025/11/21
90138,食品,Y,352,185,True,0.1,4,江苏,2025/11/21
90139,数码,Y,317,181,False,0.0,1,广东,2025/11/21
90140,服装,Y,472,249,False,0.0,5,山东,2025/11/21
90141,服装,Y,168,86,True,0.2,1,山东,2025/11/21
90142,数码,Y,289,88,False,0.0,5,浙江,2025/11/21
90143,服装,Y,388,146,False,0.0,2,福建,2025/11/21
90144,数码,Y,375,150,False,0.0,3,山东,2025/11/21
90145,数码,Y,321,110,False,0.0,4,山东,2025/11/21
90146,服装,Y,170,72,False,0.0,3,山东,2025/11/21
90147,服装,Y,214,87,False,0.0,1,江苏,2025/11/21
90148,数码,Y,423,165,True,0.1,5,福建,2025/11/21
90149,食品,Y,49,33,True,0.3,1,福建,2025/11/21
90150,服装,Y,258,93,False,0.0,4,山东,2025/11/21
90151,食品,Y,335,146,False,0.0,3,浙江,2025/11/21
90152,食品,Y,448,219,False,0.0,5,广东,2025/11/21
90153,服装,Y,83,26,False,0.0,1,浙江,2025/11/21
90154,数码,Y,179,98,False,0.0,1,山东,2025/11/21
90155,食品,Y,428,129,False,0.0,3,广东,2025/11/21
90156,食品,Y,292,131,False,0.0,2,山东,2025/11/21
90157,服装,Y,243,125,False,0.0,2,山东,2025/11/21
90158,食品,Y,57,34,True,0.3,2,广东,2025/11/21
90159,食品,Y,83,28,False,0.0,4,山东,2025/11/21
90160,食品,Y,201,104,False,0.0,5,山东,2025/11/21
90161,食品,Y,392,196,False,0.0,3,福建,2025/11/21
90162,数码,Y,131,40,False,0.0,4,广东,2025/11/21
90163,数码,Y,419,216,False,0.0,5,福建,2025/11/21
90164,服装,Y,103,40,False,0.0,3,浙江,2025/11/21
90165,数码,Y,497,155,False,0.0,4,江苏,2025/11/21
90166,食品,Y,249,86,False,0.0,3,江苏,2025/11/21
90167,服装,N,116,61,True,0.2,2,江苏,2025/11/21
90168,数码,Y,229,165,True,0.3,3,广东,2025/11/21
90169,食品,Y,61,30,False,0.0,4,福建,2025/11/21
90170,数码,Y,260,139,False,0.0,3,山东,2025/11/21
90171,食品,Y,420,214,True,0.1,1,广东,2025/11/21
90172,食品,Y,105,43,False,0.0,5,山东,2025/11/21
90173,食品,Y,141,77,False,0.0,3,江苏,2025/11/21
90174,食品,Y,94,51,True,0.2,1,江苏,2025/11/21
90175,服装,Y,198,100,False,0.0,1,江苏,2025/11/21
90176,服装,Y,154,88,False,0.0,2,江苏,2025/11/21
90177,服装,Y,474,217,False,0.0,5,江苏,2025/11/21
90178,食品,Y,112,46,False,0.0,2,广东,2025/11/21
90179,服装,Y,96,31,False,0.0,5,福建,2025/11/21
90180,食品,Y,288,148,False,0.0,1,山东,2025/11/21
90181,服装,Y,288,213,True,0.2,2,山东,2025/11/21
90182,服装,Y,373,187,False,0.0,4,广东,2025/11/21
90183,服装,Y,257,126,False,0.0,2,浙江,2025/11/21
90184,数码,Y,487,151,False,0.0,1,浙江,2025/11/21
90185,食品,Y,439,198,False,0.0,3,福建,2025/11/21
90186,服装,Y,228,168,True,0.2,4,山东,2025/11/21
90187,食品,Y,344,225,True,0.3,1,浙江,2025/11/21
90188,服装,Y,156,85,False,0.0,1,山东,2025/11/21
90189,服装,Y,221,117,False,0.0,1,山东,2025/11/21
90190,服装,Y,478,229,False,0.0,1,广东,2025/11/21
90191,食品,Y,243,97,False,0.0,4,江苏,2025/11/21
90192,食品,Y,195,106,False,0.0,5,浙江,2025/11/21
90193,食品,Y,209,150,True,0.2,5,广东,2025/11/21
90194,数码,Y,238,114,False,0.0,3,广东,2025/11/21
90195,服装,Y,89,35,False,0.0,1,浙江,2025/11/21
90196,食品,Y,301,200,True,0.2,3,浙江,2025/11/21
90197,食品,Y,199,73,False,0.0,4,山东,2025/11/21
90198,数码,Y,225,124,False,0.0,5,广东,2025/11/21
90199,数码,Y,149,52,False,0.0,2,广东,2025/11/21
90200,食品,Y,358,161,False,0.0,1,广东,2025/11/21
90001,服装,Y,187,96,True,0.3,2,江苏,2025/11/22
90002,服装,Y,441,255,False,0.0,3,山东,2025/11/22
90003,食品,Y,330,162,False,0.0,1,广东,2025/11/22
90004,服装,Y,486,282,False,0.0,2,浙江,2025/11/22
90005,数码,Y,141,47,False,0.0,4,江苏,2025/11/22
90006,服装,Y,214,162,True,0.3,5,福建,2025/11/22
90007,食品,N,112,49,False,0.0,5,江苏,2025/11/22
90008,服装,N,185,124,True,0.2,3,广东,2025/11/22
90009,数码,Y,462,164,False,0.0,3,浙江,2025/11/22
90010,食品,Y,368,272,True,0.2,1,浙江,2025/11/22
90011,服装,Y,124,49,False,0.0,5,山东,2025/11/22
90012,服装,Y,295,176,False,0.0,3,浙江,2025/11/22
90013,数码,Y,437,202,True,0.1,4,浙江,2025/11/22
90014,食品,Y,357,242,True,0.2,2,广东,2025/11/22
90015,服装,Y,367,180,False,0.0,5,浙江,2025/11/22
90016,食品,Y,166,91,False,0.0,4,山东,2025/11/22
90017,数码,Y,248,98,False,0.0,3,广东,2025/11/22
90018,服装,Y,47,29,True,0.3,1,山东,2025/11/22
90019,数码,Y,58,34,False,0.0,3,江苏,2025/11/22
90020,数码,Y,433,238,False,0.0,3,福建,2025/11/22
90021,服装,Y,118,65,False,0.0,5,山东,2025/11/22
90022,食品,Y,442,148,False,0.0,2,福建,2025/11/22
90023,数码,Y,266,199,True,0.2,3,浙江,2025/11/22
90024,食品,Y,465,144,False,0.0,3,广东,2025/11/22
90025,数码,Y,324,177,False,0.0,3,浙江,2025/11/22
90026,服装,Y,78,45,False,0.0,2,江苏,2025/11/22
90027,数码,Y,102,49,True,0.2,4,浙江,2025/11/22
90028,食品,Y,236,76,False,0.0,3,江苏,2025/11/22
90029,数码,Y,61,18,False,0.0,3,江苏,2025/11/22
90030,服装,Y,414,135,False,0.0,2,山东,2025/11/22
90031,食品,Y,320,197,True,0.1,3,浙江,2025/11/22
90032,服装,Y,185,98,False,0.0,3,浙江,2025/11/22
90033,服装,N,310,125,True,0.1,1,广东,2025/11/22
90034,服装,Y,191,75,False,0.0,5,山东,2025/11/22
90035,服装,Y,372,238,True,0.2,5,山东,2025/11/22
90036,数码,Y,332,165,False,0.0,1,福建,2025/11/22
90037,服装,Y,209,120,False,0.0,4,浙江,2025/11/22
90038,食品,Y,176,83,True,0.2,1,广东,2025/11/22
90039,服装,Y,98,57,False,0.0,5,浙江,2025/11/22
90040,服装,Y,235,91,True,0.2,3,福建,2025/11/22
90041,食品,Y,93,39,True,0.1,5,山东,2025/11/22
90042,服装,N,91,36,False,0.0,2,山东,2025/11/22
90043,食品,Y,394,163,True,0.2,1,福建,2025/11/22
90044,服装,Y,423,216,False,0.0,2,山东,2025/11/22
