biz_no,open_id,session_id,app_page,action_type,time_spent,device_type,location,action_time,ip_city,page_value,grass_date
92,op1001818,op1001818_20251120_1,search_page,click,24740,mobile,西安,2025-11-20 22:31:30,广州,食品,2025-11-20
93,op1001818,op1001818_20251120_1,product_page,click,20321,desktop,上海,2025-11-20 22:35:47,南京,90132,2025-11-20
94,op1001818,op1001818_20251120_1,product_page,input,11136,tablet,重庆,2025-11-20 22:39:40,深圳,90054,2025-11-20
95,op1001818,op1001818_20251120_1,home_page,swipe,28371,tablet,北京,2025-11-20 22:41:03,杭州,,2025-11-20
96,op1001818,op1001818_20251120_2,home_page,click,11859,mobile,上海,2025-11-20 23:41:51,南京,,2025-11-20
97,op1001818,op1001818_20251120_2,profile_page,input,4015,mobile,上海,2025-11-20 23:46:49,广州,,2025-11-20
98,op1001818,op1001818_20251120_2,search_page,click,24231,mobile,成都,2025-11-20 23:49:49,武汉,食品,2025-11-20
99,op1001818,op1001818_20251120_2,search_page,click,14068,desktop,重庆,2025-11-20 23:53:38,天津,数码,2025-11-20
100,op1001818,op1001818_20251120_3,home_page,tap,25910,mobile,南京,2025-11-20 16:43:35,成都,,2025-11-20
101,op1001818,op1001818_20251120_3,search_page,tap,5614,tablet,西安,2025-11-20 16:49:11,天津,数码,2025-11-20
102,op1000928,op1000928_20251120_1,home_page,tap,8670,desktop,南京,2025-11-20 19:35:25,苏州,,2025-11-20
103,op1000928,op1000928_20251120_1,cart_page,click,16482,desktop,武汉,2025-11-20 19:40:29,广州,,2025-11-20
104,op1000928,op1000928_20251120_1,home_page,input,27307,desktop,南京,2025-11-20 19:42:52,武汉,,2025-11-20
105,op1000928,op1000928_20251120_1,home_page,tap,15892,tablet,上海,2025-11-20 19:48:07,北京,,2025-11-20
106,op1000928,op1000928_20251120_1,home_page,click,5348,tablet,广州,2025-11-20 19:53:01,苏州,,2025-11-20
107,op1001185,op1001185_20251120_1,home_page,tap,29009,mobile,重庆,2025-11-20 12:04:18,北京,,2025-11-20
108,op1001185,op1001185_20251120_1,home_page,swipe,12836,tablet,西安,2025-11-20 12:07:25,武汉,,2025-11-20
109,op1001185,op1001185_20251120_1,profile_page,swipe,10528,desktop,深圳,2025-11-20 12:09:56,杭州,,2025-11-20
110,op1001185,op1001185_20251120_2,home_page,click,18754,desktop,西安,2025-11-20 19:14:07,深圳,,2025-11-20
111,op1001185,op1001185_20251120_2,cart_page,tap,14199,mobile,南京,2025-11-20 19:17:18,北京,,2025-11-20
112,op1001185,op1001185_20251120_2,product_page,tap,16647,tablet,西安,2025-11-20 19:22:22,武汉,90133,2025-11-20
113,op1001185,op1001185_20251120_2,search_page,input,9729,mobile,深圳,2025-11-20 19:27:44,杭州,数码,2025-11-20
114,op1001185,op1001185_20251120_2,profile_page,click,11451,tablet,西安,2025-11-20 19:29:44,天津,,2025-11-20
115,op1001185,op1001185_20251120_3,home_page,swipe,28213,mobile,重庆,2025-11-20 04:56:41,上海,,2025-11-20
116,op1001185,op1001185_20251120_3,home_page,swipe,8194,desktop,广州,2025-11-20 05:00:58,上海,,2025-11-20
117,op1001185,op1001185_20251120_3,profile_page,scroll,7922,mobile,杭州,2025-11-20 05:05:09,苏州,,2025-11-20
118,op1001184,op1001184_20251120_1,home_page,click,2914,mobile,武汉,2025-11-20 23:59:58,苏州,,2025-11-20
119,op1001184,op1001184_20251120_1,product_page,scroll,23572,tablet,武汉,2025-11-20 23:59:58,北京,90099,2025-11-20
120,op1001184,op1001184_20251120_1,home_page,swipe,18768,tablet,上海,2025-11-20 23:59:58,上海,,2025-11-20
121,op1001184,op1001184_20251120_1,search_page,tap,22020,desktop,上海,2025-11-20 23:59:58,天津,数码,2025-11-20
122,op1001585,op1001585_20251120_1,home_page,click,11321,mobile,南京,2025-11-20 14:58:38,上海,,2025-11-20
123,op1001585,op1001585_20251120_1,search_page,scroll,27769,tablet,上海,2025-11-20 15:03:46,成都,服装,2025-11-20
124,op1001585,op1001585_20251120_1,home_page,swipe,3322,tablet,重庆,2025-11-20 15:07:29,上海,,2025-11-20
125,op1000179,op1000179_20251120_1,home_page,tap,19808,tablet,西安,2025-11-20 09:01:28,杭州,,2025-11-20
126,op1000179,op1000179_20251120_1,product_page,scroll,27130,desktop,西安,2025-11-20 09:05:54,天津,90066,2025-11-20
127,op1000179,op1000179_20251120_1,profile_page,input,5309,desktop,杭州,2025-11-20 09:09:24,深圳,,2025-11-20
128,op1000179,op1000179_20251120_1,profile_page,click,21460,desktop,西安,2025-11-20 09:11:54,成都,,2025-11-20
129,op1000179,op1000179_20251120_1,search_page,tap,3708,mobile,深圳,2025-11-20 09:13:10,广州,服装,2025-11-20
130,op1001470,op1001470_20251120_1,home_page,scroll,23433,mobile,深圳,2025-11-20 17:47:36,杭州,,2025-11-20
131,op1001470,op1001470_20251120_1,product_page,input,15347,tablet,西安,2025-11-20 17:49:57,北京,90162,2025-11-20
132,op1001470,op1001470_20251120_1,cart_page,click,14291,tablet,西安,2025-11-20 17:53:59,南京,,2025-11-20
133,op1001470,op1001470_20251120_1,profile_page,scroll,20276,desktop,成都,2025-11-20 17:57:56,杭州,,2025-11-20
134,op1000195,op1000195_20251120_1,home_page,scroll,13537,desktop,杭州,2025-11-20 17:24:09,北京,,2025-11-20
135,op1000195,op1000195_20251120_1,cart_page,click,11841,tablet,上海,2025-11-20 17:29:01,武汉,,2025-11-20
136,op1000195,op1000195_20251120_1,search_page,click,13893,tablet,武汉,2025-11-20 17:34:22,广州,服装,2025-11-20
137,op1000195,op1000195_20251120_2,home_page,click,20466,mobile,西安,2025-11-20 12:14:10,广州,,2025-11-20
138,op1000195,op1000195_20251120_2,home_page,click,17167,desktop,杭州,2025-11-20 12:15:52,天津,,2025-11-20
139,op1000195,op1000195_20251120_2,home_page,scroll,4267,mobile,深圳,2025-11-20 12:20:41,苏州,,2025-11-20
140,op1000195,op1000195_20251120_2,profile_page,click,20694,desktop,上海,2025-11-20 12:23:02,杭州,,2025-11-20
141,op1000195,op1000195_20251120_3,home_page,scroll,21769,mobile,南京,2025-11-20 21:29:26,成都,,2025-11-20
142,op1000195,op1000195_20251120_3,search_page,input,23892,mobile,北京,2025-11-20 21:31:23,深圳,食品,2025-11-20
143,op1000195,op1000195_20251120_3,product_page,scroll,15343,tablet,重庆,2025-11-20 21:35:18,上海,90033,2025-11-20
144,op1000195,op1000195_20251120_3,product_page,swipe,25888,desktop,上海,2025-11-20 21:36:38,深圳,90049,2025-11-20
145,op1000195,op1000195_20251120_3,search_page,tap,9507,tablet,重庆,2025-11-20 21:39:40,武汉,数码,2025-11-20
146,op1000329,op1000329_20251120_1,home_page,scroll,16194,desktop,西安,2025-11-20 03:50:27,广州,,2025-11-20
147,op1000329,op1000329_20251120_1,cart_page,input,22099,mobile,成都,2025-11-20 03:51:30,上海,,2025-11-20
148,op1000329,op1000329_20251120_1,profile_page,input,23201,desktop,成都,2025-11-20 03:55:19,上海,,2025-11-20
149,op1000329,op1000329_20251120_1,product_page,tap,4883,mobile,杭州,2025-11-20 03:58:27,上海,90148,2025-11-20
150,op1000329,op1000329_20251120_1,profile_page,click,17596,desktop,杭州,2025-11-20 03:59:31,苏州,,2025-11-20
151,op1001997,op1001997_20251120_1,home_page,tap,12769,tablet,成都,2025-11-20 07:45:04,天津,,2025-11-20
152,op1001997,op1001997_20251120_1,search_page,scroll,2497,tablet,南京,2025-11-20 07:46:06,上海,数码,2025-11-20
153,op1001997,op1001997_20251120_2,home_page,swipe,19716,tablet,西安,2025-11-20 18:37:04,苏州,,2025-11-20
154,op1001997,op1001997_20251120_2,profile_page,swipe,16646,tablet,上海,2025-11-20 18:39:34,苏州,,2025-11-20
155,op1001997,op1001997_20251120_2,search_page,scroll,24483,mobile,成都,2025-11-20 18:45:28,杭州,数码,2025-11-20
156,op1001997,op1001997_20251120_2,cart_page,input,29242,mobile,上海,2025-11-20 18:46:53,武汉,,2025-11-20
157,op1001997,op1001997_20251120_2,profile_page,swipe,25863,mobile,广州,2025-11-20 18:49:53,成都,,2025-11-20
158,op1000334,op1000334_20251120_1,home_page,swipe,11259,tablet,北京,2025-11-20 00:08:42,杭州,,2025-11-20
159,op1000334,op1000334_20251120_1,home_page,swipe,18604,tablet,北京,2025-11-20 00:13:45,北京,,2025-11-20
160,op1000334,op1000334_20251120_1,cart_page,scroll,8170,mobile,杭州,2025-11-20 00:17:39,深圳,,2025-11-20
161,op1000334,op1000334_20251120_1,home_page,click,25157,mobile,重庆,2025-11-20 00:19:20,南京,,2025-11-20
162,op1000847,op1000847_20251120_1,home_page,tap,9299,mobile,上海,2025-11-20 11:17:56,深圳,,2025-11-20
163,op1000847,op1000847_20251120_1,home_page,swipe,13864,tablet,成都,2025-11-20 11:20:35,上海,,2025-11-20
164,op1000847,op1000847_20251120_2,home_page,input,25714,desktop,西安,2025-11-20 21:27:27,广州,,2025-11-20
165,op1000847,op1000847_20251120_2,cart_page,scroll,3874,mobile,重庆,2025-11-20 21:33:16,南京,,2025-11-20
166,op1000847,op1000847_20251120_2,search_page,scroll,13951,mobile,成都,2025-11-20 21:35:42,北京,服装,2025-11-20
167,op1000847,op1000847_20251120_2,product_page,swipe,13125,tablet,西安,2025-11-20 21:37:46,杭州,90165,2025-11-20
168,op1000847,op1000847_20251120_3,home_page,click,15579,mobile,深圳,2025-11-20 00:48:31,北京,,2025-11-20
169,op1000847,op1000847_20251120_3,product_page,tap,1200,mobile,成都,2025-11-20 00:53:15,北京,90165,2025-11-20
170,op1000847,op1000847_20251120_3,cart_page,scroll,3212,tablet,西安,2025-11-20 00:54:48,天津,,2025-11-20
171,op1000847,op1000847_20251120_3,profile_page,click,23491,tablet,重庆,2025-11-20 00:56:15,深圳,,2025-11-20
172,op1000847,op1000847_20251120_3,home_page,tap,15304,mobile,西安,2025-11-20 00:59:36,苏州,,2025-11-20
173,op999951,op999951_20251120_1,home_page,tap,25563,tablet,武汉,2025-11-20 23:40:41,深圳,,2025-11-20
174,op999951,op999951_20251120_1,profile_page,tap,17933,mobile,上海,2025-11-20 23:44:39,成都,,2025-11-20
175,op999951,op999951_20251120_2,home_page,click,18940,tablet,重庆,2025-11-20 17:51:23,天津,,2025-11-20
176,op999951,op999951_20251120_2,profile_page,scroll,27335,desktop,杭州,2025-11-20 17:55:19,杭州,,2025-11-20
177,op999951,op999951_20251120_2,home_page,click,17839,mobile,北京,2025-11-20 17:59:29,上海,,2025-11-20
178,op999951,op999951_20251120_2,home_page,scroll,19061,mobile,重庆,2025-11-20 18:03:03,北京,,2025-11-20
179,op999951,op999951_20251120_2,product_page,scroll,22708,mobile,上海,2025-11-20 18:06:08,杭州,90021,2025-11-20
180,op999951,op999951_20251120_3,home_page,tap,25503,mobile,深圳,2025-11-20 08:45:36,天津,,2025-11-20
181,op999951,op999951_20251120_3,cart_page,scroll,23973,mobile,北京,2025-11-20 08:46:44,上海,,2025-11-20
182,op999951,op999951_20251120_3,product_page,click,10076,desktop,北京,2025-11-20 08:49:38,北京,90021,2025-11-20
183,op999951,op999951_20251120_3,profile_page,swipe,12769,mobile,深圳,2025-11-20 08:52:01,成都,,2025-11-20
184,op999951,op999951_20251120_3,home_page,scroll,17493,mobile,南京,2025-11-20 08:55:57,上海,,2025-11-20
185,op1002384,op1002384_20251120_1,home_page,input,24437,desktop,成都,2025-11-20 12:16:29,武汉,,2025-11-20
186,op1002384,op1002384_20251120_1,search_page,swipe,20154,mobile,重庆,2025-11-20 12:21:43,北京,服装,2025-11-20
187,op1002384,op1002384_20251120_1,home_page,scroll,20602,mobile,南京,2025-11-20 12:23:13,杭州,,2025-11-20
188,op1002384,op1002384_20251120_1,profile_page,tap,2339,mobile,重庆,2025-11-20 12:28:26,深圳,,2025-11-20
189,op1002384,op1002384_20251120_2,home_page,click,21319,tablet,南京,2025-11-20 08:18:02,天津,,2025-11-20
190,op1002384,op1002384_20251120_2,home_page,scroll,4883,tablet,武汉,2025-11-20 08:19:34,上海,,2025-11-20
191,op1002643,op1002643_20251120_1,home_page,swipe,16089,mobile,南京,2025-11-20 17:59:07,南京,,2025-11-20
192,op1002643,op1002643_20251120_1,product_page,click,19688,desktop,南京,2025-11-20 18:02:30,上海,90104,2025-11-20
193,op1002643,op1002643_20251120_1,cart_page,input,26519,tablet,杭州,2025-11-20 18:03:58,南京,,2025-11-20
194,op1002643,op1002643_20251120_1,profile_page,scroll,23441,tablet,重庆,2025-11-20 18:06:43,成都,,2025-11-20
195,op1002643,op1002643_20251120_1,cart_page,swipe,12265,mobile,杭州,2025-11-20 18:12:07,北京,,2025-11-20
196,op1002643,op1002643_20251120_2,home_page,swipe,5413,tablet,深圳,2025-11-20 06:10:12,北京,,2025-11-20
197,op1002643,op1002643_20251120_2,search_page,scroll,26750,tablet,北京,2025-11-20 06:13:53,苏州,食品,2025-11-20
198,op1002643,op1002643_20251120_2,search_page,input,23069,mobile,深圳,2025-11-20 06:19:47,苏州,食品,2025-11-20
199,op1002643,op1002643_20251120_2,home_page,tap,25082,tablet,重庆,2025-11-20 06:24:53,天津,,2025-11-20
200,op1002643,op1002643_20251120_2,profile_page,scroll,21954,mobile,杭州,2025-11-20 06:26:35,天津,,2025-11-20
201,op1002650,op1002650_20251120_1,home_page,scroll,5390,desktop,杭州,2025-11-20 08:18:23,广州,,2025-11-20
202,op1002650,op1002650_20251120_1,home_page,input,18420,mobile,成都,2025-11-20 08:20:39,成都,,2025-11-20
203,op1002650,op1002650_20251120_1,home_page,scroll,3541,mobile,广州,2025-11-20 08:26:10,南京,,2025-11-20
204,op1002650,op1002650_20251120_1,home_page,input,24552,tablet,广州,2025-11-20 08:30:59,南京,,2025-11-20
205,op1002650,op1002650_20251120_1,cart_page,input,17363,tablet,武汉,2025-11-20 08:35:36,杭州,,2025-11-20
206,op1002650,op1002650_20251120_2,home_page,input,19491,tablet,杭州,2025-11-20 06:27:39,天津,,2025-11-20
207,op1002650,op1002650_20251120_2,cart_page,swipe,27440,mobile,南京,2025-11-20 06:30:36,杭州,,2025-11-20
208,op1002650,op1002650_20251120_2,product_page,click,6802,tablet,杭州,2025-11-20 06:33:37,苏州,90139,2025-11-20
209,op1002650,op1002650_20251120_2,cart_page,input,28484,desktop,杭州,2025-11-20 06:38:42,广州,,2025-11-20
210,op1002650,op1002650_20251120_3,home_page,input,19865,tablet,南京,2025-11-20 12:42:03,武汉,,2025-11-20
211,op1002650,op1002650_20251120_3,product_page,click,28965,mobile,上海,2025-11-20 12:46:58,杭州,90139,2025-11-20
212,op1002650,op1002650_20251120_3,product_page,input,26458,desktop,重庆,2025-11-20 12:48:15,北京,90081,2025-11-20
213,op999974,op999974_20251120_1,home_page,scroll,26973,mobile,南京,2025-11-20 20:35:56,广州,,2025-11-20
214,op999974,op999974_20251120_1,search_page,scroll,24540,mobile,武汉,2025-11-20 20:41:22,成都,食品,2025-11-20
215,op999974,op999974_20251120_1,profile_page,scroll,4416,desktop,上海,2025-11-20 20:42:56,深圳,,2025-11-20
216,op999974,op999974_20251120_1,profile_page,tap,27933,tablet,北京,2025-11-20 20:45:55,深圳,,2025-11-20
217,op999977,op999977_20251120_1,home_page,tap,10202,tablet,北京,2025-11-20 23:37:51,杭州,,2025-11-20
218,op999977,op999977_20251120_1,product_page,swipe,17563,tablet,杭州,2025-11-20 23:41:45,武汉,90194,2025-11-20
219,op999977,op999977_20251120_1,home_page,swipe,7356,desktop,北京,2025-11-20 23:43:29,苏州,,2025-11-20
220,op999977,op999977_20251120_1,profile_page,input,29682,desktop,北京,2025-11-20 23:46:26,武汉,,2025-11-20
221,op1001515,op1001515_20251120_1,home_page,input,14327,mobile,成都,2025-11-20 04:40:27,深圳,,2025-11-20
222,op1001515,op1001515_20251120_1,search_page,click,22158,mobile,广州,2025-11-20 04:43:19,武汉,食品,2025-11-20
223,op1001515,op1001515_20251120_1,home_page,click,13041,tablet,西安,2025-11-20 04:44:21,上海,,2025-11-20
224,op1001515,op1001515_20251120_1,product_page,swipe,29060,desktop,北京,2025-11-20 04:46:25,杭州,90088,2025-11-20
225,op1001515,op1001515_20251120_1,search_page,swipe,22711,mobile,深圳,2025-11-20 04:50:26,天津,数码,2025-11-20
226,op1001515,op1001515_20251120_2,home_page,scroll,26004,tablet,西安,2025-11-20 18:46:21,北京,,2025-11-20
227,op1001515,op1001515_20251120_2,home_page,scroll,4985,mobile,南京,2025-11-20 18:51:43,广州,,2025-11-20
228,op1001515,op1001515_20251120_2,product_page,tap,26413,tablet,北京,2025-11-20 18:53:21,北京,90088,2025-11-20
229,op1002795,op1002795_20251120_1,home_page,scroll,8688,mobile,北京,2025-11-20 04:49:03,武汉,,2025-11-20
